mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	0	2	3/4	1/4	1/2	2	firstMeasure		other		1	2
2	1	2	3/4	3/4	0	2						3
3	2	2	3/4	3/4	0	2						4
4	3	2	3/4	3/4	0	2						5
5	4	2	3/4	3/4	0	2						6
6	5	2	3/4	3/4	0	3						7
7	6	2	3/4	3/4	0	4						8
8	7	2	3/4	3/4	0	4						9
9	8	2	3/4	1/2	0	4	endRepeat		end-repeat			1, 10
10	8	2	3/4	1/4	1/2	4	startRepeat		start-repeat		1	11
11	9	2	3/4	3/4	0	4						12
12	10	2	3/4	3/4	0	4						13
13	11	2	3/4	3/4	0	4						14
14	12	2	3/4	3/4	0	5						15
15	13	2	3/4	3/4	0	3						16
16	14	2	3/4	3/4	0	2						17
17	15	2	3/4	3/4	0	3						18
18	16	2	3/4	3/4	0	2						19
19	17	2	3/4	3/4	0	3						20
20	18	2	3/4	3/4	0	4						21
21	19	2	3/4	3/4	0	5						22
22	20	2	3/4	1/2	0	4	endRepeat		end-repeat			10, -1
