mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	1	1	2/4	1/2	0	3	firstMeasure					2
2	2	1	2/4	1/2	0	3						3
3	3	1	2/4	1/2	0	3						4
4	4	1	2/4	1/2	0	3						5
5	5	1	2/4	1/2	0	4						6
6	6	1	2/4	1/2	0	4						7
7	7	1	2/4	1/2	0	3						8
8	8	1	2/4	1/2	0	3	endRepeat					1, 9
9	9	1	2/4	1/2	0	3	startRepeat		start-repeat			10
10	10	1	2/4	1/2	0	3						11
11	11	1	2/4	1/2	0	3						12
12	12	1	2/4	1/2	0	3						13
13	13	1	2/4	1/2	0	3						14
14	14	1	2/4	1/2	0	5						15
15	15	1	2/4	1/2	0	3						16
16	16	1	2/4	1/2	0	3						17
17	17	1	2/4	1/2	0	3						18
18	18	1	2/4	1/2	0	3						19
19	19	1	2/4	1/2	0	4						20
20	20	1	2/4	1/2	0	4						21
21	21	1	2/4	1/2	0	3						22
22	22	1	2/4	1/2	0	4	endRepeat		end-repeat			9, 23
23	22	1	2/4	1/4	0	2	lastMeasure		end		1	-1
