mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.25		0	3/8	2/4	1	2	1/16		1/16	1		8	68	G#4	4	1
1	0	0	0	0.5		0	3/8	2/4	1	1	1/8		1/8	1		8	68	G#4	4	0
1	0	1/4	1/4	0.25		1/16	7/16	2/4	1	2	1/16		1/16	1		4	64	E4	4	2
1	0	1/4	1/4	0.25		1/16	7/16	2/4	1	2	1/16		1/16	1		1	67	G4	4	2
2	1	1/2	1/2	0.5		0	0	2/4	2	1	1/8		1/8	1		3	33	A1	1	15
2	1	1/2	1/2	0.5		0	0	2/4	2	1	1/8		1/8	1		3	45	A2	2	15
2	1	1/2	1/2	0.25		0	0	2/4	1	2	1/16		1/16	1		3	69	A4	4	7
2	1	1/2	1/2	0.5		0	0	2/4	1	1	1/8		1/8	1		3	69	A4	4	3
2	1	3/4	3/4	0.25		1/16	1/16	2/4	1	2	1/16		1/16	1		4	64	E4	4	8
2	1	3/4	3/4	0.25		1/16	1/16	2/4	1	2	1/16		1/16	1		1	67	G4	4	8
2	1	1	1	0.25		1/8	1/8	2/4	1	2	1/16		1/16	1		7	73	C#5	5	9
2	1	1	1	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		7	73	C#5	5	4
2	1	5/4	5/4	0.25		3/16	3/16	2/4	1	2	1/16		1/16	1		1	67	G4	4	10
2	1	5/4	5/4	0.25		3/16	3/16	2/4	1	2	1/16		1/16	1		3	69	A4	4	10
2	1	3/2	3/2	0.25		1/4	1/4	2/4	1	2	1/16		1/16	1		6	78	F#5	5	11
2	1	3/2	3/2	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		6	78	F#5	5	5
2	1	7/4	7/4	0.25		5/16	5/16	2/4	1	2	1/16		1/16	1		1	67	G4	4	12
2	1	7/4	7/4	0.25		5/16	5/16	2/4	1	2	1/16		1/16	1		3	69	A4	4	12
2	1	2	2	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		7	49	C#3	3	16
2	1	2	2	0.25		3/8	3/8	2/4	1	2	1/16		1/16	1		4	76	E5	5	13
2	1	2	2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		4	76	E5	5	6
2	1	9/4	9/4	0.25		7/16	7/16	2/4	1	2	1/16		1/16	1		1	67	G4	4	14
2	1	9/4	9/4	0.25		7/16	7/16	2/4	1	2	1/16		1/16	1		3	69	A4	4	14
3	2	5/2	5/2	2.0		0	0	2/4	2	2	1/2		1/2	1		3	45	A2	2	31
3	2	5/2	5/2	0.5		0	0	2/4	2	1	1/8		1/8	1		2	50	D3	3	27
3	2	5/2	5/2	0.25		0	0	2/4	1	2	1/16		1/16	1		2	74	D5	5	20
3	2	5/2	5/2	0.5		0	0	2/4	1	1	1/8		1/8	1		2	74	D5	5	17
3	2	11/4	11/4	0.25		1/16	1/16	2/4	1	2	1/16		1/16	1		2	62	D4	4	21
3	2	11/4	11/4	0.25		1/16	1/16	2/4	1	2	1/16		1/16	1		6	66	F#4	4	21
3	2	3	3	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		6	54	F#3	3	28
3	2	3	3	0.25		1/8	1/8	2/4	1	2	1/16		1/16	1		3	69	A4	4	22
3	2	3	3	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		3	69	A4	4	18
3	2	13/4	13/4	0.25		3/16	3/16	2/4	1	2	1/16		1/16	1		2	62	D4	4	23
3	2	13/4	13/4	0.25		3/16	3/16	2/4	1	2	1/16		1/16	1		6	66	F#4	4	23
3	2	7/2	7/2	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		5	59	B3	3	29
3	2	15/4	15/4	0.25		5/16	5/16	2/4	1	2	1/16		1/16	1		2	62	D4	4	24
3	2	15/4	15/4	0.25		5/16	5/16	2/4	1	2	1/16		1/16	1		6	66	F#4	4	24
3	2	4	4	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		3	57	A3	3	30
3	2	4	4	0.25		3/8	3/8	2/4	1	2	1/16		1/16	1		3	69	A4	4	25
3	2	4	4	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		3	69	A4	4	19
3	2	17/4	17/4	0.25		7/16	7/16	2/4	1	2	1/16		1/16	1		2	62	D4	4	26
3	2	17/4	17/4	0.25		7/16	7/16	2/4	1	2	1/16		1/16	1		6	66	F#4	4	26
4	3	9/2	9/2	0.25		0	0	2/4	2	1	1/16		1/16	1		3	45	A2	2	45
4	3	9/2	9/2	0.25		0	0	2/4	2	2	1/16		1/16	1		3	45	A2	2	50
4	3	9/2	9/2	0.25		0	0	2/4	1	1	1/16		1/16	1		3	69	A4	4	32
4	3	9/2	9/2	0.25		0	0	2/4	1	2	1/16		1/16	1		3	69	A4	4	38
4	3	19/4	19/4	0.25		1/16	1/16	2/4	2	2	1/16		1/16	1		1	55	G3	3	51
4	3	19/4	19/4	0.25		1/16	1/16	2/4	2	1	1/16		1/16	1		3	57	A3	3	46
4	3	19/4	19/4	0.25		1/16	1/16	2/4	1	2	1/16		1/16	1		7	61	C#4	4	39
4	3	19/4	19/4	0.25		1/16	1/16	2/4	1	1	1/16		1/16	1		4	64	E4	4	33
4	3	5	5	0.25		1/8	1/8	2/4	2	2	1/16		1/16	1		1	55	G3	3	52
4	3	5	5	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1	1	3	57	A3	3	47
4	3	5	5	0.5		1/8	1/8	2/4	1	2	1/8		1/8	1		7	61	C#4	4	40
4	3	5	5	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		4	64	E4	4	34
4	3	21/4	21/4	0.25		3/16	3/16	2/4	2	2	1/16		1/16	1		6	54	F#3	3	53
4	3	21/4	21/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		6	66	F#4	4	35
4	3	11/2	11/2	0.5		1/4	1/4	2/4	2	2	1/8		1/8	1		4	52	E3	3	54
4	3	11/2	11/2	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1	-1	3	57	A3	3	48
4	3	11/2	11/2	0.25		1/4	1/4	2/4	1	2	1/16		1/16	1		1	67	G4	4	41
4	3	11/2	11/2	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		1	67	G4	4	36
4	3	23/4	23/4	0.25		5/16	5/16	2/4	1	2	1/16		1/16	1		7	61	C#4	4	42
4	3	23/4	23/4	0.25		5/16	5/16	2/4	1	2	1/16		1/16	1		4	64	E4	4	42
4	3	6	6	0.5		3/8	3/8	2/4	2	2	1/8		1/8	1		3	33	A1	1	55
4	3	6	6	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1	1	3	45	A2	2	49
4	3	6	6	0.25		3/8	3/8	2/4	1	2	1/16		1/16	1		5	71	B4	4	43
4	3	6	6	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		5	71	B4	4	37
4	3	25/4	25/4	0.25		7/16	7/16	2/4	1	2	1/16		1/16	1		5	59	B3	3	44
4	3	25/4	25/4	0.25		7/16	7/16	2/4	1	2	1/16		1/16	1		1	67	G4	4	44
5	4	13/2	13/2	0.5		0	0	2/4	2	2	1/8		1/8	1		2	38	D2	2	69
5	4	13/2	13/2	2.0		0	0	2/4	2	1	1/2		1/2	1	-1	3	45	A2	2	68
5	4	13/2	13/2	0.25		0	0	2/4	1	2	1/16		1/16	1		3	69	A4	4	60
5	4	13/2	13/2	0.5		0	0	2/4	1	1	1/8		1/8	1		3	69	A4	4	56
5	4	27/4	27/4	0.25		1/16	1/16	2/4	1	2	1/16		1/16	1		3	57	A3	3	61
5	4	27/4	27/4	0.25		1/16	1/16	2/4	1	2	1/16		1/16	1		6	66	F#4	4	61
5	4	7	7	0.5		1/8	1/8	2/4	2	2	1/8		1/8	1		6	42	F#2	2	70
5	4	7	7	0.25		1/8	1/8	2/4	1	2	1/16		1/16	1		6	66	F#4	4	62
5	4	7	7	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		6	66	F#4	4	57
5	4	29/4	29/4	0.25		3/16	3/16	2/4	1	2	1/16		1/16	1		3	57	A3	3	63
5	4	29/4	29/4	0.25		3/16	3/16	2/4	1	2	1/16		1/16	1		2	62	D4	4	63
5	4	15/2	15/2	1.0		1/4	1/4	2/4	2	2	1/4		1/4	1		3	45	A2	2	71
5	4	15/2	15/2	0.25		1/4	1/4	2/4	1	2	1/16		1/16	1		4	64	E4	4	64
5	4	15/2	15/2	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		4	64	E4	4	58
5	4	31/4	31/4	0.25		5/16	5/16	2/4	1	2	1/16		1/16	1		3	57	A3	3	65
5	4	31/4	31/4	0.25		5/16	5/16	2/4	1	2	1/16		1/16	1		7	61	C#4	4	65
5	4	8	8	0.25		3/8	3/8	2/4	1	2	1/16		1/16	1		8	68	G#4	4	66
5	4	8	8	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		8	68	G#4	4	59
5	4	33/4	33/4	0.25		7/16	7/16	2/4	1	2	1/16		1/16	1		4	64	E4	4	67
5	4	33/4	33/4	0.25		7/16	7/16	2/4	1	2	1/16		1/16	1		1	67	G4	4	67
6	5	17/2	17/2	0.0		0	0	2/4	2	1	0	acciaccatura	1/8	1		3	33	A1	1	80
6	5	17/2	17/2	0.5		0	0	2/4	2	1	1/8		1/8	1		3	45	A2	2	81
6	5	17/2	17/2	2.0		0	0	2/4	2	2	1/2		1/2	1		3	45	A2	2	85
6	5	17/2	17/2	0.25		0	0	2/4	1	2	1/16		1/16	1		3	69	A4	4	74
6	5	17/2	17/2	1.0		0	0	2/4	1	1	1/4		1/4	1		3	69	A4	4	72
6	5	35/4	35/4	0.25		1/16	1/16	2/4	1	2	1/16		1/16	1		4	64	E4	4	75
6	5	35/4	35/4	0.25		1/16	1/16	2/4	1	2	1/16		1/16	1		1	67	G4	4	75
6	5	9	9	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		7	49	C#3	3	82
6	5	37/4	37/4	0.25		3/16	3/16	2/4	1	2	1/16		1/16	1		1	55	G3	3	76
6	5	37/4	37/4	0.25		3/16	3/16	2/4	1	2	1/16		1/16	1		3	57	A3	3	76
6	5	19/2	19/2	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		6	54	F#3	3	83
6	5	39/4	39/4	0.25		5/16	5/16	2/4	1	2	1/16		1/16	1		1	55	G3	3	77
6	5	39/4	39/4	0.25		5/16	5/16	2/4	1	2	1/16		1/16	1		3	57	A3	3	77
6	5	10	10	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		4	52	E3	3	84
6	5	10	10	0.25		3/8	3/8	2/4	1	2	1/16		1/16	1		7	61	C#4	4	78
6	5	10	10	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		7	61	C#4	4	73
6	5	41/4	41/4	0.25		7/16	7/16	2/4	1	2	1/16		1/16	1		1	55	G3	3	79
6	5	41/4	41/4	0.25		7/16	7/16	2/4	1	2	1/16		1/16	1		3	57	A3	3	79
7	6	21/2	21/2	1.5		0	0	2/4	2	1	3/8		1/4	3/2		2	38	D2	2	98
7	6	21/2	21/2	1.5		0	0	2/4	2	1	3/8		1/4	3/2		2	50	D3	3	98
7	6	21/2	21/2	0.25		0	0	2/4	1	2	1/16		1/16	1		2	62	D4	4	90
7	6	21/2	21/2	0.5		0	0	2/4	1	1	1/8		1/8	1		2	62	D4	4	86
7	6	43/4	43/4	0.25		1/16	1/16	2/4	1	2	1/16		1/16	1		6	54	F#3	3	91
7	6	43/4	43/4	0.25		1/16	1/16	2/4	1	2	1/16		1/16	1		3	57	A3	3	91
7	6	11	11	0.25		1/8	1/8	2/4	1	2	1/16		1/16	1		6	66	F#4	4	92
7	6	11	11	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		6	66	F#4	4	87
7	6	45/4	45/4	0.25		3/16	3/16	2/4	1	2	1/16		1/16	1		3	57	A3	3	93
