mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	0	3/16	1/16		1/16	1	1	9	63	1	1	
2	1	0	1/16		1/16	1		8	44	2	1	
2	1	0	1/16		1/16	1	-1	9	63	1	1	
2	1	1/16	1/16		1/16	1		9	63	2	1	
2	1	1/16	1/8		1/8	1		8	68	1	1	
2	1	1/8	1/16		1/16	1		8	56	2	1	
2	1	3/16	1/16		1/16	1		9	51	2	1	
2	1	3/16	1/16		1/16	1	1	5	71	1	1	
3	2	0	1/16		1/16	1		8	44	2	1	
3	2	0	1/16		1/16	1	-1	5	71	1	1	
3	2	1/16	1/16		1/16	1		9	63	2	1	
3	2	1/16	1/16		1/16	1		10	70	1	2	
3	2	1/16	1/8		1/8	1		10	70	1	1	
3	2	1/8	1/16		1/16	1		13	55	2	1	
3	2	1/8	1/8		1/8	1		7	61	1	2	
3	2	3/16	1/16		1/16	1		9	51	2	1	
3	2	3/16	1/16		1/16	1	1	13	67	1	1	
4	3	0	1/16		1/16	1		8	44	2	1	
4	3	0	1/16		1/16	1	-1	13	67	1	1	
4	3	1/16	1/16		1/16	1		9	63	2	1	
4	3	1/16	1/16		1/16	1		8	68	1	2	
4	3	1/16	1/8		1/8	1		8	68	1	1	
4	3	1/8	1/16		1/16	1		8	56	2	1	
4	3	1/8	1/8		1/8	1		5	59	1	2	
4	3	3/16	1/16		1/16	1		9	51	2	1	
4	3	3/16	1/16		1/16	1	1	10	70	1	1	
5	4	0	1/16		1/16	1		1	43	2	1	
5	4	0	1/16		1/16	1	-1	10	70	1	1	
5	4	1/16	1/16		1/16	1		4	64	2	1	
5	4	1/16	1/16		1/16	1		5	71	1	2	
5	4	1/16	1/8		1/8	1		5	71	1	1	
5	4	1/8	1/8		1/8	1		5	59	1	2	
5	4	1/8	1/16		1/16	1		7	61	2	1	
5	4	3/16	1/16		1/16	1		4	52	2	1	
5	4	3/16	1/16		1/16	1	1	7	73	1	1	
6	5	0	1/16		1/16	1		6	42	2	1	
6	5	0	1/16		1/16	1	-1	7	73	1	1	
6	5	1/16	1/16		1/16	1		6	66	2	1	
6	5	1/16	1/16		1/16	1		9	75	1	2	
6	5	1/16	1/8		1/8	1		9	75	1	1	
6	5	1/8	1/16		1/16	1		5	59	2	1	
6	5	1/8	1/8		1/8	1		9	63	1	2	
6	5	3/16	1/16		1/16	1		6	54	2	1	
6	5	3/16	1/16		1/16	1	1	4	76	1	1	
7	6	0	1/16		1/16	1		6	42	2	1	
7	6	0	1/16		1/16	1	-1	4	76	1	1	
7	6	1/16	1/16		1/16	1		6	66	2	1	
7	6	1/16	1/16		1/16	1		7	73	1	2	
7	6	1/16	1/8		1/8	1		7	73	1	1	
7	6	1/8	1/16		1/16	1		10	58	2	1	
7	6	1/8	1/8		1/8	1		4	64	1	2	
7	6	3/16	1/16		1/16	1		6	54	2	1	
7	6	3/16	1/16		1/16	1	1	9	75	1	1	
8	7	0	1/16		1/16	1		5	47	2	1	
8	7	0	1/16		1/16	1	-1	9	75	1	1	
8	7	1/16	1/16		1/16	1		6	66	2	1	
8	7	1/16	3/16		1/8	3/2	1	6	66	2	2	
8	7	1/16	1/16		1/16	1		5	71	1	2	
8	7	1/16	3/16		1/8	3/2	1	5	71	1	1	
8	7	1/8	1/16		1/16	1		5	59	2	1	
8	7	1/8	1/8		1/8	1	1	5	59	2	3	
8	7	1/8	1/8		1/8	1	1	9	63	1	2	
8	7	3/16	1/16		1/16	1	1	6	54	2	1	
9	8	0	1/8		1/8	1	-1	6	54	2	1	
9	8	0	1/8		1/8	1	-1	5	59	2	1	
9	8	0	1/8		1/8	1	-1	9	63	1	1	
