mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	0	2/4	2	2	1/4	1/4	1		4	52	E3	3	9
1	1	0	0	1.0	0	0	2/4	2	2	1/4	1/4	1		1	55	G3	3	9
1	1	0	0	0.5	0	0	2/4	2	1	1/8	1/8	1		5	59	B3	3	4
1	1	1/2	1/2	0.25	1/8	1/8	2/4	2	1	1/16	1/16	1		0	60	C4	4	5
1	1	3/4	3/4	0.25	3/16	3/16	2/4	2	1	1/16	1/16	1		5	59	B3	3	6
1	1	1	1	1.0	1/4	1/4	2/4	2	2	1/4	1/4	1		9	51	D#3	3	10
1	1	1	1	1.0	1/4	1/4	2/4	2	2	1/4	1/4	1		6	54	F#3	3	10
1	1	1	1	0.25	1/4	1/4	2/4	2	1	1/16	1/16	1		5	59	B3	3	7
1	1	1	1	0.5	1/4	1/4	2/4	1	1	1/8	1/8	1		5	71	B4	4	0
1	1	1	1	1.0	1/4	1/4	2/4	1	2	1/4	1/4	1		5	71	B4	4	3
1	1	5/4	5/4	0.75	5/16	5/16	2/4	2	1	3/16	1/8	3/2		6	66	F#4	4	8
1	1	3/2	3/2	0.25	3/8	3/8	2/4	1	1	1/16	1/16	1		6	78	F#5	5	1
1	1	7/4	7/4	0.25	7/16	7/16	2/4	1	1	1/16	1/16	1		5	71	B4	4	2
2	2	2	2	1.0	0	0	2/4	2	2	1/4	1/4	1		4	52	E3	3	23
2	2	2	2	1.0	0	0	2/4	2	2	1/4	1/4	1		1	55	G3	3	23
2	2	2	2	0.5	0	0	2/4	2	1	1/8	1/8	1		5	59	B3	3	18
2	2	2	2	0.25	0	0	2/4	1	1	1/16	1/16	1		5	71	B4	4	11
2	2	2	2	1.0	0	0	2/4	1	2	1/4	1/4	1		5	71	B4	4	16
2	2	9/4	9/4	0.75	1/16	1/16	2/4	1	1	3/16	1/8	3/2		1	79	G5	5	12
2	2	5/2	5/2	0.25	1/8	1/8	2/4	2	1	1/16	1/16	1		0	60	C4	4	19
2	2	11/4	11/4	0.25	3/16	3/16	2/4	2	1	1/16	1/16	1		5	59	B3	3	20
2	2	3	3	1.0	1/4	1/4	2/4	2	2	1/4	1/4	1		9	51	D#3	3	24
2	2	3	3	1.0	1/4	1/4	2/4	2	2	1/4	1/4	1		6	54	F#3	3	24
2	2	3	3	0.25	1/4	1/4	2/4	2	1	1/16	1/16	1		5	59	B3	3	21
2	2	3	3	0.5	1/4	1/4	2/4	1	1	1/8	1/8	1		5	71	B4	4	13
2	2	3	3	1.0	1/4	1/4	2/4	1	2	1/4	1/4	1		5	71	B4	4	17
2	2	13/4	13/4	0.75	5/16	5/16	2/4	2	1	3/16	1/8	3/2		6	66	F#4	4	22
2	2	7/2	7/2	0.25	3/8	3/8	2/4	1	1	1/16	1/16	1		6	78	F#5	5	14
