mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/16	2/8	2	1	g#.V{	-2.57193	-5.58494		/		g#	i		V	V						{	M	1	1	9, 13, 10		9.0	9.0	0	1	0.0	0.0	0.0625	0.0
2	1	0	0	2/8	2	1	i[i						g#	i	i	i	i							m	1	1	8, 5, 9		8.0	8.0	0	9	0.0	0.0	0.6875	0.0
3	2	0	0	2/8	2	1	V7						g#	i	i	V7	V		7					Mm7	1	1	9, 13, 10, 7		9.0	9.0	2	7	0.2222222222222222	0.125	0.5625	0.18181818181818182
4	3	0	0	2/8	2	1	i]						g#	i	i	i	i							m	1	1	8, 5, 9		8.0	8.0	2	7	0.2222222222222222	0.125	0.5625	0.18181818181818182
5	4	0	0	2/8	2	1	III.ii%43						g#	III		ii%43	ii	%	43					%7	1	0	1, 5, 7, 4		7.0	1.0	1	8	0.1111111111111111	0.0625	0.625	0.09090909090909091
6	5	0	0	2/8	2	1	V(64)						g#	III		V(64)	V			64				M	1	0	6, 5, 9		6.0	6.0	2	7	0.2222222222222222	0.125	0.5625	0.18181818181818182
7	6	0	0	2/8	2	1	V7						g#	III		V7	V		7					Mm7	1	0	6, 10, 7, 4		6.0	6.0	1	8	0.1111111111111111	0.0625	0.625	0.09090909090909091
8	7	0	0	2/8	2	1	I|PAC}	0.591983	8.77458		/		g#	III		I	I					PAC	}	M	1	0	5, 9, 6		5.0	5.0	0	15	0.0	0.0	1.625	0.0
9	8	3/16	3/16	2/8	2	1	V{						g#	III		V	V						{	M	1	0	6, 10, 7		6.0	6.0	0	1	0.0	0.0	0.0625	0.0
10	9	0	0	2/8	2	1	I[I						g#	III	I	I	I							M	1	0	5, 9, 6		5.0	5.0	0	9	0.0	0.0	0.6875	0.0
11	10	0	0	2/8	2	1	V7(b9)						g#	III	I	V7(b9)	V		7	b9				Mm7	1	0	6, 10, 7, 4	1	6.0	6.0	2	8	0.2	0.125	0.75	0.14285714285714285
12	11	0	0	2/8	2	1	I]						g#	III	I	I	I							M	1	0	5, 9, 6		5.0	5.0	2	7	0.2222222222222222	0.125	0.5625	0.18181818181818182
13	12	0	0	2/8	2	1	V43/V						g#	III		V43/V	V		43		V			Mm7	1	0	8, 5, 7, 11		7.0	8.0	0	2	0.0	0.0	0.125	0.0
13	12	1/16	1/16	2/8	2	1	V43(9)/V						g#	III		V43(9)/V	V		43	9	V			Mm7	1	0	8, 5, 7, 11	9	7.0	8.0	0	7	0.0	0.0	0.5625	0.0
14	13	0	0	2/8	2	1	v.V(64)						g#	v		V(64)	V			64				M	1	1	10, 9, 6		10.0	10.0	2	7	0.2222222222222222	0.125	0.5625	0.18181818181818182
