mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	b.i{					b	i		i	i						{	m	1	1	5, 2, 6		5.0	5.0	2	11	0.15384615384615385	0.125	1.0625	0.10526315789473684
2	2	0	0	2/4	2	1	iv					b	i		iv	iv							m	1	1	4, 1, 5		4.0	4.0	2	5	0.2857142857142857	0.125	0.5	0.2
2	2	1/4	1/4	2/4	2	1	i					b	i		i	i							m	1	1	5, 2, 6		5.0	5.0	2	5	0.2857142857142857	0.125	0.5	0.2
3	3	0	0	2/4	2	1	iv					b	i		iv	iv							m	1	1	4, 1, 5		4.0	4.0	2	11	0.15384615384615385	0.125	1.0625	0.10526315789473684
4	4	0	0	2/4	2	1	V(64)					b	i		V(64)	V			64				M	1	1	6, 5, 2		6.0	6.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
4	4	1/8	1/8	2/4	2	1	V7					b	i		V7	V		7					Mm7	1	1	6, 10, 7, 4		6.0	6.0	1	3	0.25	0.0625	0.3125	0.16666666666666666
4	4	1/4	1/4	2/4	2	1	i|PAC}					b	i		i	i					PAC	}	m	1	1	5, 2, 6		5.0	5.0	2	17	0.10526315789473684	0.125	1.4375	0.08
6	6	0	0	2/4	2	1	iv					b	i		iv	iv							m	1	1	4, 1, 5		4.0	4.0	2	5	0.2857142857142857	0.125	0.5	0.2
6	6	1/4	1/4	2/4	2	1	i					b	i		i	i							m	1	1	5, 2, 6		5.0	5.0	2	5	0.2857142857142857	0.125	0.5	0.2
7	7	0	0	2/4	2	1	iv					b	i		iv	iv							m	1	1	4, 1, 5		4.0	4.0	2	11	0.15384615384615385	0.125	1.0625	0.10526315789473684
8	8	0	0	2/4	2	1	V(64)					b	i		V(64)	V			64				M	1	1	6, 5, 2		6.0	6.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
8	8	1/8	1/8	2/4	2	1	V7					b	i		V7	V		7					Mm7	1	1	6, 10, 7, 4		6.0	6.0	1	3	0.25	0.0625	0.3125	0.16666666666666666
8	8	1/4	1/4	2/4	2	1	i|PAC}					b	i		i	i					PAC	}	m	1	1	5, 2, 6		5.0	5.0	0	6	0.0	0.0	0.375	0.0
9	9	0	0	2/4	2	1	VI.I6{					b	VI		I6	I		6				{	M	1	0	5, 2, 1		1.0	5.0	2	11	0.15384615384615385	0.125	1.0625	0.10526315789473684
10	10	0	0	2/4	2	1	ii7					b	VI		ii7	ii		7					mm7	1	0	3, 0, 4, 1		3.0	3.0	2	5	0.2857142857142857	0.125	0.5	0.2
10	10	1/4	1/4	2/4	2	1	V(64)					b	VI		V(64)	V			64				M	1	0	2, 1, 5		2.0	2.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
10	10	3/8	3/8	2/4	2	1	V7					b	VI		V7	V		7					Mm7	1	0	2, 6, 3, 0		2.0	2.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
11	11	0	0	2/4	2	1	vi					b	VI		vi	vi							m	1	0	4, 1, 5		4.0	4.0	0	5	0.0	0.0	0.5	0.0
11	11	1/4	1/4	2/4	2	1	vi64				I6	b	VI		vi64	vi		64					m	1	0	5, 4, 1		4.0	5.0	2	5	0.2857142857142857	0.125	0.5	0.2
12	12	0	0	2/4	2	1	iio6/vi				V43	b	VI		iio6/vi	ii	o	6		vi			o	1	0	3, 0, 6		6.0	3.0	2	5	0.2857142857142857	0.125	0.5	0.2
12	12	1/4	1/4	2/4	2	1	V(64)/vi				I6	b	VI		V(64)/vi	V			64	vi			M	1	0	5, 4, 1		5.0	5.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
12	12	3/8	3/8	2/4	2	1	V7/vi					b	VI		V7/vi	V		7		vi			Mm7	1	0	5, 9, 6, 3		5.0	5.0	1	3	0.25	0.0625	0.3125	0.16666666666666666
13	13	0	0	2/4	2	1	IV[IV					b	VI	IV	IV	IV							M	1	0	0, 4, 1		0.0	0.0	0	5	0.0	0.0	0.5	0.0
13	13	1/4	1/4	2/4	2	1	V7/IV					b	VI	IV	V7/IV	V		7		IV			Mm7	1	0	1, 5, 2, -1		1.0	1.0	2	6	0.25	0.3125	0.6875	0.3125
14	14	0	0	2/4	2	1	I/IV					b	VI	IV	I/IV	I				IV			M	1	0	0, 4, 1		0.0	0.0	0	7	0.0	0.0	1.0	0.0
14	14	1/4	1/4	2/4	2	1	V7/IV					b	VI	IV	V7/IV	V		7		IV			Mm7	1	0	1, 5, 2, -1		1.0	1.0	2	6	0.25	0.3125	0.6875	0.3125
15	15	0	0	2/4	2	1	I/IV]					b	VI	IV	I/IV	I				IV			M	1	0	0, 4, 1		0.0	0.0	0	7	0.0	0.0	0.75	0.0
15	15	1/4	1/4	2/4	2	1	i.V7|HC}					b	i		V7	V		7			HC	}	Mm7	1	1	6, 10, 7, 4		6.0	6.0	7	13	0.35	0.4375	3.3125	0.11666666666666667
17	17	0	0	2/4	2	1	i{					b	i		i	i						{	m	1	1	5, 2, 6		5.0	5.0	2	10	0.16666666666666666	0.125	1.0	0.1111111111111111
18	18	0	0	2/4	2	1	iv					b	i		iv	iv							m	1	1	4, 1, 5		4.0	4.0	2	5	0.2857142857142857	0.125	0.5	0.2
18	18	1/4	1/4	2/4	2	1	i					b	i		i	i							m	1	1	5, 2, 6		5.0	5.0	2	5	0.2857142857142857	0.125	0.5	0.2
19	19	0	0	2/4	2	1	iv					b	i		iv	iv							m	1	1	4, 1, 5		4.0	4.0	2	11	0.15384615384615385	0.125	1.0625	0.10526315789473684
20	20	0	0	2/4	2	1	V(64)	0	-8.02773	/		b	i		V(64)	V			64				M	1	1	6, 5, 2		6.0	6.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
20	20	1/8	1/8	2/4	2	1	V7					b	i		V7	V		7					Mm7	1	1	6, 10, 7, 4		6.0	6.0	1	3	0.25	0.0625	0.3125	0.16666666666666666
20	20	1/4	1/4	2/4	2	1	i|PAC}	0	-8	/		b	i		i	i					PAC	}	m	1	1	5, 2, 6		5.0	5.0	0	6	0.0	0.0	0.375	0.0
21	21	0	0	2/4	2	1	VI.I6{					b	VI		I6	I		6				{	M	1	0	5, 2, 1		1.0	5.0	2	11	0.15384615384615385	0.125	1.0625	0.10526315789473684
22	22	0	0	2/4	2	1	ii7					b	VI		ii7	ii		7					mm7	1	0	3, 0, 4, 1		3.0	3.0	2	5	0.2857142857142857	0.125	0.5	0.2
22	22	1/4	1/4	2/4	2	1	V64					b	VI		V64	V		64					M	1	0	3, 2, 6		2.0	3.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
22	22	3/8	3/8	2/4	2	1	V7					b	VI		V7	V		7					Mm7	1	0	2, 6, 3, 0		2.0	2.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
23	23	0	0	2/4	2	1	vi					b	VI		vi	vi							m	1	0	4, 1, 5		4.0	4.0	0	5	0.0	0.0	0.5	0.0
23	23	1/4	1/4	2/4	2	1	vi64				I6	b	VI		vi64	vi		64					m	1	0	5, 4, 1		4.0	5.0	2	5	0.2857142857142857	0.125	0.5	0.2
24	24	0	0	2/4	2	1	iio6/vi				V43	b	VI		iio6/vi	ii	o	6		vi			o	1	0	3, 0, 6		6.0	3.0	2	5	0.2857142857142857	0.125	0.5	0.2
24	24	1/4	1/4	2/4	2	1	V(64)/vi				I6	b	VI		V(64)/vi	V			64	vi			M	1	0	5, 4, 1		5.0	5.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
24	24	3/8	3/8	2/4	2	1	V7/vi					b	VI		V7/vi	V		7		vi			Mm7	1	0	5, 9, 6, 3		5.0	5.0	1	3	0.25	0.0625	0.3125	0.16666666666666666
25	25	0	0	2/4	2	1	IV[IV					b	VI	IV	IV	IV							M	1	0	0, 4, 1		0.0	0.0	0	5	0.0	0.0	0.5	0.0
25	25	1/4	1/4	2/4	2	1	V7/IV					b	VI	IV	V7/IV	V		7		IV			Mm7	1	0	1, 5, 2, -1		1.0	1.0	2	6	0.25	0.3125	0.6875	0.3125
26	26	0	0	2/4	2	1	IV					b	VI	IV	IV	IV							M	1	0	0, 4, 1		0.0	0.0	0	7	0.0	0.0	1.0	0.0
26	26	1/4	1/4	2/4	2	1	V7/IV					b	VI	IV	V7/IV	V		7		IV			Mm7	1	0	1, 5, 2, -1		1.0	1.0	2	6	0.25	0.3125	0.6875	0.3125
27	27	0	0	2/4	2	1	IV]					b	VI	IV	IV	IV							M	1	0	0, 4, 1		0.0	0.0	0	7	0.0	0.0	0.75	0.0
27	27	1/4	1/4	2/4	2	1	i.V7|HC}					b	i		V7	V		7			HC	}	Mm7	1	1	6, 10, 7, 4		6.0	6.0	7	13	0.35	0.4375	3.3125	0.11666666666666667
29	29	0	0	2/4	2	1	i{					b	i		i	i						{	m	1	1	5, 2, 6		5.0	5.0	2	10	0.16666666666666666	0.125	1.0	0.1111111111111111
30	30	0	0	2/4	2	1	iv					b	i		iv	iv							m	1	1	4, 1, 5		4.0	4.0	2	5	0.2857142857142857	0.125	0.5	0.2
