mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/8	2/4	2	1	D.V43(#7){	-3.37343	-6.53846	/		D	I		V43(#7)	V		43	#7			{	Mm7	0	0	4, 1, 8, 7		3.0	4.0	0	4	0.0	0.0	0.3125	0.0
2	1	0	0	2/4	2	1	V7					D	I		V7	V		7					Mm7	0	0	3, 7, 4, 1		3.0	3.0	2	12	0.14285714285714285	0.1875	1.0	0.15789473684210525
2	1	3/8	3/8	2/4	2	1	V65					D	I		V65	V		65					Mm7	0	0	7, 4, 1, 3		3.0	7.0	0	5	0.0	0.0	0.4375	0.0
3	2	0	0	2/4	2	1	V(64)					D	I		V(64)	V			64				M	0	0	3, 2, 6		3.0	3.0	1	18	0.05263157894736842	0.125	1.9375	0.06060606060606061
4	3	0	0	2/4	2	1	V7					D	I		V7	V		7					Mm7	0	0	3, 7, 4, 1		3.0	3.0	2	18	0.1	0.125	1.4375	0.08
4	3	3/8	3/8	2/4	2	1	V7(9)					D	I		V7(9)	V		7	9				Mm7	0	0	3, 7, 4, 1	5	3.0	3.0	0	6	0.0	0.0	0.5625	0.0
5	4	0	0	2/4	2	1	I					D	I		I	I							M	0	0	2, 6, 3		2.0	2.0	0	6	0.0	0.0	0.9375	0.0
5	4	1/8	1/8	2/4	2	1	I6					D	I		I6	I		6					M	0	0	6, 3, 2		2.0	6.0	0	5	0.0	0.0	0.4375	0.0
5	4	1/4	1/4	2/4	2	1	V|HC}					D	I		V	V					HC	}	M	0	0	3, 7, 4		3.0	3.0	0	5	0.0	0.0	0.5625	0.0
5	4	3/8	3/8	2/4	2	1	V7(#7){					D	I		V7(#7)	V		7	#7			{	Mm7	0	0	3, 7, 4, 8		3.0	3.0	1	3	0.25	0.0625	0.25	0.2
6	5	0	0	2/4	2	1	V7					D	I		V7	V		7					Mm7	0	0	3, 7, 4, 1		3.0	3.0	1	17	0.05555555555555555	0.125	1.875	0.0625
7	6	0	0	2/4	2	1	I					D	I		I	I							M	0	0	2, 6, 3		2.0	2.0	2	12	0.14285714285714285	0.1875	1.5	0.1111111111111111
7	6	3/8	3/8	2/4	2	1	V2/IV	-1.18208	-9.37265	/		D	I		V2/IV	V		2		IV			Mm7	0	0	0, 2, 6, 3		2.0	0.0	0	6	0.0	0.0	0.5625	0.0
8	7	0	0	2/4	2	1	IV6	0	-9.15385	/		D	I		IV6	IV		6					M	0	0	5, 2, 1		1.0	5.0	3	11	0.21428571428571427	0.25	1.4375	0.14814814814814814
8	7	3/8	3/8	2/4	2	1	iv6	0	-9.15385	/		D	I		iv6	iv		6					m	0	0	-2, 2, 1		1.0	-2.0	0	6	0.0	0.0	0.5625	0.0
9	8	0	0	2/4	2	1	V7	0	-11.7692	/	1.0	D	I		V7	V		7					Mm7	0	0	3, 7, 4, 1		3.0	3.0	0	6	0.0	0.0	0.5625	0.0
9	8	1/8	1/8	2/4	2	1	IV6	0	-11.7692	/	1.0	D	I		IV6	IV		6					M	0	0	5, 2, 1		1.0	5.0	0	6	0.0	0.0	0.5625	0.0
9	8	1/4	1/4	2/4	2	1	V65(#4#2)	0	-11.7692	/	1.0	D	I		V65(#4#2)	V		65	#4#2				Mm7	0	0	12, 9, 1, 3		3.0	12.0	0	6	0.0	0.0	0.5625	0.0
9	8	3/8	3/8	2/4	2	1	V65(#7)}{	0	-11.7692	/	1.0	D	I		V65(#7)	V		65	#7			}{	Mm7	0	0	7, 4, 1, 8		3.0	7.0	0	6	0.0	0.0	0.5625	0.0
10	9	0	0	2/4	2	1	V65	0.392308	-11.7692	/	1.0	D	I		V65	V		65					Mm7	0	0	7, 4, 1, 3		3.0	7.0	0	6	0.0	0.0	0.5625	0.0
10	9	1/8	1/8	2/4	2	1	V7|HC	0	-11.7692	/	1.0	D	I		V7	V		7			HC		Mm7	0	0	3, 7, 4, 1		3.0	3.0	2	7	0.2222222222222222	0.1875	0.5625	0.25
10	9	3/8	3/8	2/4	2	1	V65				1.0	D	I		V65	V		65					Mm7	0	0	7, 4, 1, 3		3.0	7.0	0	5	0.0	0.0	0.4375	0.0
11	8	0	0	2/4	2	1	V7	0	-10.4615	/	2.0	D	I		V7	V		7					Mm7	0	0	3, 7, 4, 1		3.0	3.0	0	6	0.0	0.0	0.5625	0.0
11	8	1/8	1/8	2/4	2	1	IV6	0	-10.4615	/	2.0	D	I		IV6	IV		6					M	0	0	5, 2, 1		1.0	5.0	0	6	0.0	0.0	0.5625	0.0
11	8	1/4	1/4	2/4	2	1	V65(#4)	0	-10.4615	/	2.0	D	I		V65(#4)	V		65	#4				Mm7	0	0	7, 9, 1, 3		3.0	7.0	0	6	0.0	0.0	0.5625	0.0
11	8	3/8	3/8	2/4	2	1	bIII.V(+6)	0	-10.4615	/	2.0	D	bIII		V(+6)	V			+6				M	0	0	0, 4, 1	3	0.0	0.0	0	6	0.0	0.0	0.5625	0.0
12	9	0	0	2/4	2	1	V7	0	-13.3385	/	2.0	D	bIII		V7	V		7					Mm7	0	0	0, 4, 1, -2		0.0	0.0	2	12	0.14285714285714285	0.1875	1.5	0.1111111111111111
12	9	3/8	3/8	2/4	2	1	V65	0	-10.4615	/	2.0	D	bIII		V65	V		65					Mm7	0	0	4, 1, -2, 0		0.0	4.0	0	5	0.0	0.0	0.4375	0.0
13	10	0	0	2/4	2	1	V(64)					D	bIII		V(64)	V			64				M	0	0	0, -1, 3		0.0	0.0	1	18	0.05263157894736842	0.125	1.9375	0.06060606060606061
14	11	0	0	2/4	2	1	V7					D	bIII		V7	V		7					Mm7	0	0	0, 4, 1, -2		0.0	0.0	4	15	0.21052631578947367	0.3125	1.125	0.21739130434782608
14	11	3/8	3/8	2/4	2	1	V7(9)					D	bIII		V7(9)	V		7	9				Mm7	0	0	0, 4, 1, -2	2	0.0	0.0	0	6	0.0	0.0	0.5625	0.0
15	12	0	0	2/4	2	1	I					D	bIII		I	I							M	0	0	-1, 3, 0		-1.0	-1.0	0	6	0.0	0.0	0.6875	0.0
15	12	1/8	1/8	2/4	2	1	I6					D	bIII		I6	I		6					M	0	0	3, 0, -1		-1.0	3.0	0	5	0.0	0.0	0.4375	0.0
15	12	1/4	1/4	2/4	2	1	V|HC}					D	bIII		V	V					HC	}	M	0	0	0, 4, 1		0.0	0.0	0	5	0.0	0.0	0.75	0.0
15	12	3/8	3/8	2/4	2	1	V(+6){					D	bIII		V(+6)	V			+6			{	M	0	0	0, 4, 1	3	0.0	0.0	0	4	0.0	0.0	0.3125	0.0
16	13	0	0	2/4	2	1	V7					D	bIII		V7	V		7					Mm7	0	0	0, 4, 1, -2		0.0	0.0	2	12	0.14285714285714285	0.1875	1.5	0.1111111111111111
16	13	3/8	3/8	2/4	2	1	I.viio7	0	-9.15385	/		D	I		viio7	vii	o	7					o7	0	0	7, 4, 1, -2		7.0	7.0	0	6	0.0	0.0	0.5625	0.0
17	14	0	0	2/4	2	1	I	0.392308	-7.84615	/		D	I		I	I							M	0	0	2, 6, 3		2.0	2.0	0	6	0.0	0.0	0.5625	0.0
17	14	1/8	1/8	2/4	2	1	V43					D	I		V43	V		43					Mm7	0	0	4, 1, 3, 7		3.0	4.0	0	6	0.0	0.0	0.5625	0.0
17	14	1/4	1/4	2/4	2	1	I6(9#2)					D	I		I6(9#2)	I		6	9#2				M	0	0	11, 3, 2	4	2.0	11.0	2	4	0.3333333333333333	0.25	0.3125	0.4444444444444444
17	14	3/8	3/8	2/4	2	1	I6					D	I		I6	I		6					M	0	0	6, 3, 2		2.0	6.0	0	6	0.0	0.0	0.5625	0.0
18	15	0	0	2/4	2	1	IV	0	-10.2894	/		D	I		IV	IV							M	0	0	1, 5, 2		1.0	1.0	0	6	0.0	0.0	0.5625	0.0
