mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	G.I{				G	I		I	I						{	M	0	0	1, 5, 2		1	1	0	5	0.0	0.0	0.625	0.0
1	1	1/4	1/4	2/4	2	1	viio7/V				G	I		viio7/V	vii	o	7		V			o7	0	0	7, 4, 1, -2		7	7	0	5	0.0	0.0	0.625	0.0
2	2	0	0	2/4	2	1	V				G	I		V	V							M	0	0	2, 6, 3		2	2	1	5	0.16666666666666666	0.0625	0.5625	0.1
2	2	1/4	1/4	2/4	2	1	V65				G	I		V65	V		65					Mm7	0	0	6, 3, 0, 2		2	6	0	5	0.0	0.0	0.625	0.0
3	3	0	0	2/4	2	1	I				G	I		I	I							M	0	0	1, 5, 2		1	1	0	5	0.0	0.0	0.625	0.0
3	3	1/4	1/4	2/4	2	1	viio7/V				G	I		viio7/V	vii	o	7		V			o7	0	0	7, 4, 1, -2		7	7	0	5	0.0	0.0	0.625	0.0
4	4	0	0	2/4	2	1	V				G	I		V	V							M	0	0	2, 6, 3		2	2	1	5	0.16666666666666666	0.0625	0.5625	0.1
4	4	1/4	1/4	2/4	2	1	V65				G	I		V65	V		65					Mm7	0	0	6, 3, 0, 2		2	6	0	5	0.0	0.0	0.625	0.0
5	5	0	0	2/4	2	1	I				G	I		I	I							M	0	0	1, 5, 2		1	1	0	5	0.0	0.0	0.625	0.0
5	5	1/4	1/4	2/4	2	1	I6				G	I		I6	I		6					M	0	0	5, 2, 1		1	5	0	6	0.0	0.0	0.875	0.0
6	6	0	0	2/4	2	1	IV				G	I		IV	IV							M	0	0	0, 4, 1		0	0	1	6	0.14285714285714285	0.0625	0.8125	0.07142857142857142
6	6	1/4	1/4	2/4	2	1	IV6				G	I		IV6	IV		6					M	0	0	4, 1, 0		0	4	0	5	0.0	0.0	0.625	0.0
7	7	0	0	2/4	2	1	V7(4)				G	I		V7(4)	V		7	4				Mm7	0	0	2, 1, 3, 0		2	2	0	5	0.0	0.0	0.625	0.0
7	7	1/4	1/4	2/4	2	1	V7				G	I		V7	V		7					Mm7	0	0	2, 6, 3, 0		2	2	0	5	0.0	0.0	0.625	0.0
8	8	0	0	2/4	2	1	I|IAC}				G	I		I	I					IAC	}	M	0	0	1, 5, 2		1	1	0	9	0.0	0.0	1.25	0.0
9	9	0	0	2/4	2	1	vi{				G	I		vi	vi						{	m	0	0	4, 1, 5		4	4	0	6	0.0	0.0	1.0	0.0
9	9	1/4	1/4	2/4	2	1	ii				G	I		ii	ii							m	0	0	3, 0, 4		3	3	0	6	0.0	0.0	1.0	0.0
10	10	0	0	2/4	2	1	V				G	I		V	V							M	0	0	2, 6, 3		2	2	1	6	0.14285714285714285	0.0625	0.9375	0.0625
10	10	1/4	1/4	2/4	2	1	I6				G	I		I6	I		6					M	0	0	5, 2, 1		1	5	0	6	0.0	0.0	1.0	0.0
11	11	0	0	2/4	2	1	VI/vi				G	I		VI/vi	VI				vi			M	0	0	0, 4, 1		0	0	0	6	0.0	0.0	1.0	0.0
11	11	1/4	1/4	2/4	2	1	ii%7/vi				G	I		ii%7/vi	ii	%	7		vi			%7	0	0	6, 3, 0, 4		6	6	0	6	0.0	0.0	1.0	0.0
12	12	0	0	2/4	2	1	V/vi				G	I		V/vi	V				vi			M	0	0	5, 9, 6		5	5	1	6	0.14285714285714285	0.0625	0.9375	0.0625
