mc	mn	onset	label
1	1	0	.G.I
1	1	1/4	#viio7/V
2	2	0	V
2	2	1/4	V65
3	3	0	I
3	3	1/4	#viio7/V
4	4	0	V
4	4	1/4	V65
5	5	0	I
5	5	1/4	I6
6	6	0	IV
6	6	1/4	IV6
7	7	0	V7(4)
7	7	1/4	V7
8	8	0	I\\
9	9	0	vi
9	9	1/4	ii
10	10	0	V
10	10	3/16	V2
10	10	1/4	I6
11	11	0	IV
11	11	1/4	ii%7/vi
12	12	0	V/vi
12	12	3/16	V2/vi
12	12	1/4	I6
13	13	0	IV
13	13	1/4	V2
14	14	0	I6
14	14	3/16	V64
14	14	1/4	I\\
14	14	3/8	V43(4)
15	15	0	I
15	15	1/4	#viio7/V
16	16	0	V
16	16	1/4	V65
17	17	0	I
17	17	1/4	#viio7/V
18	18	0	V
18	18	1/4	V65
19	19	0	I
19	19	1/4	I6
20	20	0	IV
20	20	1/4	IV6
21	21	0	V7(4)
21	21	1/4	V7
22	22	0	I\\
