mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	3/4	2	1	C.I6{		C	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
1	1	1	1	1.0	1/4	1/4	3/4	2	1	V[I6		C	I	V	I6		I		6					M	0	0	4, 1, 0		0	4
1	1	2	2	1.0	1/2	1/2	3/4	2	1	I6(#2#46)		C	I	V	I6(#2#46)		I		6	#2#46				M	0	0	9, 3, 6, 0		0	9
2	2	3	3	2.0	0	0	3/4	2	1	I6		C	I	V	I6		I		6					M	0	0	4, 1, 0		0	4
2	2	5	5	1.0	1/2	1/2	3/4	2	1	I		C	I	V	I		I							M	0	0	0, 4, 1		0	0
3	3	6	6	2.0	0	0	3/4	2	1	V43(4)		C	I	V	V43(4)		V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
3	3	8	8	1.0	1/2	1/2	3/4	2	1	V6		C	I	V	V6		V		6					M	0	0	5, 2, 1		1	5
4	4	9	9	3.0	0	0	3/4	2	1	I		C	I	V	I		I							M	0	0	0, 4, 1		0	0
5	5	12	12	2.0	0	0	3/4	2	1	I6		C	I	V	I6		I		6					M	0	0	4, 1, 0		0	4
5	5	14	14	1.0	1/2	1/2	3/4	2	1	IV		C	I	V	IV		IV							M	0	0	-1, 3, 0		-1	-1
6	6	15	15	2.0	0	0	3/4	2	1	I6		C	I	V	I6		I		6					M	0	0	4, 1, 0		0	4
6	6	17	17	1.0	1/2	1/2	3/4	2	1	I		C	I	V	I		I							M	0	0	0, 4, 1		0	0
7	7	18	18	2.0	0	0	3/4	2	1	V43]		C	I	V	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
7	7	20	20	1.0	1/2	1/2	3/4	2	1	I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
8	8	21	21	3.0	0	0	3/4	2	1	I|IAC}		C	I		I		I					IAC	}	M	0	0	0, 4, 1		0	0
9	9	24	24	3.0	0	0	3/4	2	1	V2/IV{		C	I		V2/IV		V		2		IV		{	Mm7	0	0	-2, 0, 4, 1		0	-2
10	10	27	27	3.0	0	0	3/4	2	1	V43/IV		C	I		V43/IV		V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
