mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	2.0	0	0	4/4	2	1	G.V2{	G	I		V2	V		2				{	Mm7	0	0	-1, 1, 5, 2		1	-1
1	1	2	2.0	1/2	1/2	4/4	2	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	2	4	3.0	0	0	4/4	2	1	V43	G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
2	2	7	1.0	3/4	3/4	4/4	2	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	8	2.0	0	0	4/4	2	1	ii65	G	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
3	3	10	2.0	1/2	1/2	4/4	2	1	vii%7/V	G	I		vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
4	4	12	2.0	0	0	4/4	2	1	V(64)	G	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
4	4	14	2.0	1/2	1/2	4/4	2	1	V|HC}	G	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
5	5	16	2.0	0	0	4/4	2	1	ii.#viio43{	G	ii		#viio43	#vii	o	43				{	o7	0	1	-1, -4, 5, 2		5	-1
5	5	18	2.0	1/2	1/2	4/4	2	1	i6	G	ii		i6	i		6					m	0	1	-3, 1, 0		0	-3
6	6	20	2.0	0	0	4/4	2	1	#viio65	G	ii		#viio65	#vii	o	65					o7	0	1	2, -1, -4, 5		5	2
6	6	22	3.0	1/2	1/2	4/4	2	1	i6	G	ii		i6	i		6					m	0	1	-3, 1, 0		0	-3
7	7	25	2.75	1/4	1/4	4/4	2	1	iio6	G	ii		iio6	ii	o	6					o	0	1	-1, -4, 2		2	-1
7	7	111/4	2.25	15/16	15/16	4/4	2	1	V	G	ii		V	V							M	0	1	1, 5, 2		1	1
8	8	30	2.0	1/2	1/2	4/4	2	1	i|PAC}	G	ii		i	i					PAC	}	m	0	1	0, -3, 1		0	0
