mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.e.i	e	i		i	i						m	1	1	0, -3, 1		0	0
1	1	1/4	V6	e	i		V6	V		6				M	1	1	5, 2, 1		1	5
2	2	0	i	e	i		i	i						m	1	1	0, -3, 1		0	0
2	2	1/4	V6	e	i		V6	V		6				M	1	1	5, 2, 1		1	5
3	3	0	i	e	i		i	i						m	1	1	0, -3, 1		0	0
3	3	1/4	v6	e	i		v6	v		6				m	1	1	-2, 2, 1		1	-2
4	4	0	VIM7	e	i		VIM7	VI	M	7				MM7	1	1	-4, 0, -3, 1		-4	-4
4	4	1/4	V	e	i		V	V						M	1	1	1, 5, 2		1	1
5	5	0	i	e	i		i	i						m	1	1	0, -3, 1		0	0
5	5	1/4	V6	e	i		V6	V		6				M	1	1	5, 2, 1		1	5
6	6	0	i	e	i		i	i						m	1	1	0, -3, 1		0	0
6	6	1/4	V6	e	i		V6	V		6				M	1	1	5, 2, 1		1	5
7	7	0	i	e	i		i	i						m	1	1	0, -3, 1		0	0
7	7	1/4	v6	e	i		v6	v		6				m	1	1	-2, 2, 1		1	-2
8	8	0	VIM7	e	i		VIM7	VI	M	7				MM7	1	1	-4, 0, -3, 1		-4	-4
8	8	1/4	V\\	e	i		V	V					\\	M	1	1	1, 5, 2		1	1
9	9	0	I.I[I	e	I	I	I	I						M	1	0	0, 4, 1		0	0
9	9	1/4	V7	e	I	I	V7	V		7				Mm7	1	0	1, 5, 2, -1		1	1
10	10	0	I	e	I	I	I	I						M	1	0	0, 4, 1		0	0
10	10	1/4	V7	e	I	I	V7	V		7				Mm7	1	0	1, 5, 2, -1		1	1
11	11	0	I]	e	I	I	I	I						M	1	0	0, 4, 1		0	0
11	11	1/4	V64	e	I		V64	V		64				M	1	0	2, 1, 5		1	2
12	12	0	V7/V	e	I		V7/V	V		7		V		Mm7	1	0	2, 6, 3, 0		2	2
12	12	1/4	V64\\	e	I		V64	V		64			\\	M	1	0	2, 1, 5		1	2
13	13	0	I[I	e	I	I	I	I						M	1	0	0, 4, 1		0	0
13	13	1/4	V7	e	I	I	V7	V		7				Mm7	1	0	1, 5, 2, -1		1	1
14	14	0	I	e	I	I	I	I						M	1	0	0, 4, 1		0	0
14	14	1/4	V7	e	I	I	V7	V		7				Mm7	1	0	1, 5, 2, -1		1	1
15	15	0	I]	e	I	I	I	I						M	1	0	0, 4, 1		0	0
15	15	1/4	V64	e	I		V64	V		64				M	1	0	2, 1, 5		1	2
16	16	0	V7/V	e	I		V7/V	V		7		V		Mm7	1	0	2, 6, 3, 0		2	2
16	16	1/4	V64\\	e	I		V64	V		64			\\	M	1	0	2, 1, 5		1	2
17	17	0	v	e	I		v	v						m	1	0	1, -2, 2		1	1
17	17	1/4	ii(4)	e	I		ii(4)	ii			4			m	1	0	2, 1, 3		2	2
17	17	3/8	ii	e	I		ii	ii						m	1	0	2, -1, 3		2	2
18	18	0	V(4)/IV	e	I		V(4)/IV	V			4	IV		M	1	0	0, -1, 1		0	0
18	18	1/8	V/IV	e	I		V/IV	V				IV		M	1	0	0, 4, 1		0	0
18	18	1/4	IV	e	I		IV	IV						M	1	0	-1, 3, 0		-1	-1
19	19	0	ii	e	I		ii	ii						m	1	0	2, -1, 3		2	2
19	19	1/4	vi(4)	e	I		vi(4)	vi			4			m	1	0	3, 2, 4		3	3
19	19	3/8	vi	e	I		vi	vi						m	1	0	3, 0, 4		3	3
20	20	0	V7(9)/V	e	I		V7(9)/V	V		7	9	V		Mm7	1	0	2, 6, 3, 0	4	2	2
20	20	1/8	V7/V	e	I		V7/V	V		7		V		Mm7	1	0	2, 6, 3, 0		2	2
20	20	1/4	V\\	e	I		V	V					\\	M	1	0	1, 5, 2		1	1
21	21	0	i.VIM7	e	i		VIM7	VI	M	7				MM7	1	1	-4, 0, -3, 1		-4	-4
21	21	1/4	iv6(9)	e	i		iv6(9)	iv		6	9			m	1	1	-4, 0, -1	1	-1	-4
21	21	7/16	iv6	e	i		iv6	iv		6				m	1	1	-4, 0, -1		-1	-4
22	22	0	V7(6)/III	e	i		V7(6)/III	V		7	6	III		Mm7	1	1	-2, 2, 1, -4		-2	-2
22	22	1/8	V7/III	e	i		V7/III	V		7		III		Mm7	1	1	-2, 2, -1, -4		-2	-2
22	22	1/4	III	e	i		III	III						M	1	1	-3, 1, -2		-3	-3
23	23	0	VIM7	e	i		VIM7	VI	M	7				MM7	1	1	-4, 0, -3, 1		-4	-4
23	23	1/4	iv6(9)	e	i		iv6(9)	iv		6	9			m	1	1	-4, 0, -1	1	-1	-4
23	23	7/16	iv6	e	i		iv6	iv		6				m	1	1	-4, 0, -1		-1	-4
24	24	0	V7(6)/III	e	i		V7(6)/III	V		7	6	III		Mm7	1	1	-2, 2, 1, -4		-2	-2
24	24	1/8	V7/III	e	i		V7/III	V		7		III		Mm7	1	1	-2, 2, -1, -4		-2	-2
24	24	1/4	V6(6)	e	i		V6(6)	V		6	6			M	1	1	5, -3, 1		1	5
24	24	7/16	V65	e	i		V65	V		65				Mm7	1	1	5, 2, -1, 1		1	5
25	25	0	i	e	i		i	i						m	1	1	0, -3, 1		0	0
25	25	1/4	V6	e	i		V6	V		6				M	1	1	5, 2, 1		1	5
26	26	0	i	e	i		i	i						m	1	1	0, -3, 1		0	0
26	26	1/4	V6	e	i		V6	V		6				M	1	1	5, 2, 1		1	5
