mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1.0	0	3/4	4/4	2	1	F.V{		F	I		V	V						{	M	0	0	1, 5, 2		1	1
2	1	1	5.0	0	0	4/4	2	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
3	2	6	3.0	1/4	1/4	4/4	2	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	3	9	1.0	0	0	4/4	2	1	V(64)		F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
4	3	10	1.0	1/4	1/4	4/4	2	1	V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	3	11	1.0	1/2	1/2	4/4	2	1	V7(9)		F	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
4	3	12	0.5	3/4	3/4	4/4	2	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	3	25/2	0.5	7/8	7/8	4/4	2	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
5	4	13	1.0	0	0	4/4	2	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
5	4	14	2.0	1/4	1/4	4/4	2	1	V|HC}		F	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
5	4	16	1.0	3/4	3/4	4/4	2	1	V64	V43{	F	I		V64	V		64					M	0	0	2, 1, 5		1	2
6	5	17	5.0	0	0	4/4	2	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
7	6	22	3.0	1/4	1/4	4/4	2	1	V65/vi		F	I		V65/vi	V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
8	7	25	1.5	0	0	4/4	2	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
8	7	53/2	0.5	3/8	3/8	4/4	2	1	V.iv		F	V		iv	iv							m	0	0	-1, -4, 0		-1	-1
8	7	27	1.5	1/2	1/2	4/4	2	1	V(64)		F	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
8	7	57/2	0.5	7/8	7/8	4/4	2	1	viio65/V		F	V		viio65/V	vii	o	65		V			o7	0	0	3, 0, -3, 6		6	3
9	8	29	1.0	0	0	4/4	2	1	V7		F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	30	1.0	1/4	1/4	4/4	2	1	V7(6)		F	V		V7(6)	V		7	6				Mm7	0	0	1, 5, 4, -1		1	1
9	8	31	1.5	1/2	1/2	4/4	2	1	I|PAC}		F	V		I	I					PAC	}	M	0	0	0, 4, 1		0	0
9	8	65/2	0.5	7/8	7/8	4/4	2	1	I.V43{		F	I		V43	V		43				{	Mm7	0	0	2, -1, 1, 5		1	2
10	9	33	4.5	0	0	4/4	2	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
11	10	75/2	0.5	1/8	1/8	4/4	2	1	ii.iv7		F	ii		iv7	iv		7					mm7	0	1	-1, -4, 0, -3		-1	-1
11	10	38	2.0	1/4	1/4	4/4	2	1	V(9)		F	ii		V(9)	V			9				M	0	1	1, 5, 2	-4	1	1
11	10	40	0.5	3/4	3/4	4/4	2	1	V		F	ii		V	V							M	0	1	1, 5, 2		1	1
11	10	81/2	0.5	7/8	7/8	4/4	2	1	V65		F	ii		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
12	11	41	1.5	0	0	4/4	2	1	i		F	ii		i	i							m	0	1	0, -3, 1		0	0
12	11	85/2	0.5	3/8	3/8	4/4	2	1	#viio43		F	ii		#viio43	#vii	o	43					o7	0	1	-1, -4, 5, 2		5	-1
12	11	43	1.5	1/2	1/2	4/4	2	1	V(64)		F	ii		V(64)	V			64				M	0	1	1, 0, -3		1	1
12	11	89/2	0.5	7/8	7/8	4/4	2	1	iio64		F	ii		iio64	ii	o	64					o	0	1	-4, 2, -1		2	-4
13	12	45	1.5	0	0	4/4	2	1	V(64)		F	ii		V(64)	V			64				M	0	1	1, 0, -3		1	1
13	12	93/2	0.5	3/8	3/8	4/4	2	1	V7		F	ii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
13	12	47	1.0	1/2	1/2	4/4	2	1	i64(2)}		F	ii		i64(2)	i		64	2			}	m	0	1	1, 2, -3		0	1
13	12	48	0.5	3/4	3/4	4/4	2	1	i|IAC		F	ii		i	i					IAC		m	0	1	0, -3, 1		0	0
13	12	97/2	0.5	7/8	7/8	4/4	2	1	V6/III{		F	ii		V6/III	V		6		III		{	M	0	1	2, -1, -2		-2	2
14	13	49	4.5	0	0	4/4	2	1	III		F	ii		III	III							M	0	1	-3, 1, -2		-3	-3
15	14	107/2	0.5	1/8	1/8	4/4	2	1	vi.iv7		F	vi		iv7	iv		7					mm7	0	1	-1, -4, 0, -3		-1	-1
15	14	54	2.0	1/4	1/4	4/4	2	1	V(9)		F	vi		V(9)	V			9				M	0	1	1, 5, 2	-4	1	1
15	14	56	0.5	3/4	3/4	4/4	2	1	V		F	vi		V	V							M	0	1	1, 5, 2		1	1
15	14	113/2	0.5	7/8	7/8	4/4	2	1	V65		F	vi		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
16	15	57	1.5	0	0	4/4	2	1	i		F	vi		i	i							m	0	1	0, -3, 1		0	0
16	15	117/2	0.5	3/8	3/8	4/4	2	1	#viio43		F	vi		#viio43	#vii	o	43					o7	0	1	-1, -4, 5, 2		5	-1
16	15	59	1.5	1/2	1/2	4/4	2	1	V(64)		F	vi		V(64)	V			64				M	0	1	1, 0, -3		1	1
16	15	121/2	0.5	7/8	7/8	4/4	2	1	iio64		F	vi		iio64	ii	o	64					o	0	1	-4, 2, -1		2	-4
17	16	61	1.5	0	0	4/4	2	1	V(64)		F	vi		V(64)	V			64				M	0	1	1, 0, -3		1	1
17	16	125/2	0.5	3/8	3/8	4/4	2	1	V7		F	vi		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
17	16	63	0.5	1/2	1/2	4/4	2	1	i(64)		F	vi		i(64)	i			64				m	0	1	0, -1, -4		0	0
17	16	127/2	0.5	5/8	5/8	4/4	2	1	I.IVM7		F	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
17	16	64	1.0	3/4	3/4	4/4	2	1	V|HC}		F	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
18	17	65	5.0	0	0	4/4	2	1	I{		F	I		I	I						{	M	0	0	0, 4, 1		0	0
19	18	70	3.0	1/4	1/4	4/4	2	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
20	19	73	1.0	0	0	4/4	2	1	V(64)		F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
20	19	74	1.0	1/4	1/4	4/4	2	1	V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	19	75	1.0	1/2	1/2	4/4	2	1	V7(9)		F	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
20	19	76	0.5	3/4	3/4	4/4	2	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
20	19	153/2	0.5	7/8	7/8	4/4	2	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
21	20	77	1.0	0	0	4/4	2	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
21	20	78	2.0	1/4	1/4	4/4	2	1	V|HC}		F	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
21	20	80	1.0	3/4	3/4	4/4	2	1	V64	V43{	F	I		V64	V		64					M	0	0	2, 1, 5		1	2
22	21	81	4.8125	0	0	4/4	2	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
23	22	1373/16	1.6875	13/64	13/64	4/4	2	1	V7(9)/V		F	I		V7(9)/V	V		7	9	V			Mm7	0	0	2, 6, 3, 0	4	2	2
23	22	175/2	1.5	5/8	5/8	4/4	2	1	V7/V		F	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
24	23	89	1.0	0	0	4/4	2	1	V(64)		F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
24	23	90	1.0	1/4	1/4	4/4	2	1	V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
24	23	91	1.0	1/2	1/2	4/4	2	1	V7(9)		F	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
24	23	92	0.5	3/4	3/4	4/4	2	1	ii6		F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
24	23	185/2	0.5	7/8	7/8	4/4	2	1	V/ii		F	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
25	24	93	1.0	0	0	4/4	2	1	ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
25	24	94	0.5	1/4	1/4	4/4	2	1	V7(9)		F	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
25	24	189/2	0.5	3/8	3/8	4/4	2	1	V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
25	24	95	2.0	1/2	1/2	4/4	2	1	I|PAC}		F	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
