mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
33	33	129/2	129/2	0.5	1/8	1/8	2/4	2	1	V(64)	e	III	V	V(64)	V			64				M	1	0	1, 0, 4		1	1
33	33	65	65	0.5	1/4	1/4	2/4	2	1	V	e	III	V	V	V							M	1	0	1, 5, 2		1	1
33	33	131/2	131/2	0.5	3/8	3/8	2/4	2	1	viio64/V	e	III	V	viio64/V	vii	o	64		V			o	1	0	0, 6, 3		6	0
34	34	66	66	2.0	0	0	2/4	2	1	V]	e	III	V	V	V							M	1	0	1, 5, 2		1	1
35	35	68	68	0.5	0	0	2/4	2	1	V2	e	III		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
35	35	137/2	137/2	0.5	1/8	1/8	2/4	2	1	I6	e	III		I6	I		6					M	1	0	4, 1, 0		0	4
35	35	69	69	0.5	1/4	1/4	2/4	2	1	V43	e	III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
35	35	139/2	139/2	0.25	3/8	3/8	2/4	2	1	V43(4)	e	III		V43(4)	V		43	4				Mm7	1	0	2, -1, 1, 0		1	2
35	35	279/4	279/4	0.75	7/16	7/16	2/4	2	1	I	e	III		I	I							M	1	0	0, 4, 1		0	0
36	36	141/2	141/2	0.5	1/8	1/8	2/4	2	1	I6	e	III		I6	I		6					M	1	0	4, 1, 0		0	4
36	36	71	71	1.0	1/4	1/4	2/4	2	1	V|HC}	e	III		V	V					HC	}	M	1	0	1, 5, 2		1	1
37	37	72	72	0.5	0	0	2/4	2	1	i.i{	e	i		i	i						{	m	1	1	0, -3, 1		0	0
37	37	145/2	145/2	0.75	1/8	1/8	2/4	2	1	i6	e	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
37	37	293/4	293/4	0.75	5/16	5/16	2/4	2	1	ii%65	e	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
38	38	74	74	1.0	0	0	2/4	2	1	V	e	i		V	V							M	1	1	1, 5, 2		1	1
38	38	75	75	0.5	1/4	1/4	2/4	2	1	i	e	i		i	i							m	1	1	0, -3, 1		0	0
38	38	151/2	151/2	0.5	3/8	3/8	2/4	2	1	VI.V	e	VI		V	V							M	1	0	1, 5, 2		1	1
39	39	76	76	0.5	0	0	2/4	2	1	I	e	VI		I	I							M	1	0	0, 4, 1		0	0
39	39	153/2	153/2	0.5	1/8	1/8	2/4	2	1	I6	e	VI		I6	I		6					M	1	0	4, 1, 0		0	4
39	39	77	77	1.0	1/4	1/4	2/4	2	1	ii65	e	VI		ii65	ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
40	40	78	78	1.0	0	0	2/4	2	1	V	e	VI		V	V							M	1	0	1, 5, 2		1	1
40	40	79	79	0.5	1/4	1/4	2/4	2	1	I}	e	VI		I	I						}	M	1	0	0, 4, 1		0	0
