mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	2/4	2	1	b.i{		b	i		i	i						{	m	1	1	0, -3, 1		0	0
2	2	2	2	1.0	0	0	2/4	2	1	iv		b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
2	2	3	3	1.0	1/4	1/4	2/4	2	1	i		b	i		i	i							m	1	1	0, -3, 1		0	0
3	3	4	4	2.0	0	0	2/4	2	1	iv		b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
4	4	6	6	0.5	0	0	2/4	2	1	V(64)		b	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
4	4	13/2	13/2	0.5	1/8	1/8	2/4	2	1	V7		b	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	7	7	3.0	1/4	1/4	2/4	2	1	i|PAC}		b	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
5	5	8	8	0.0	0	0	2/4	2	1	{		b	i									{		1	1				
6	6	10	10	1.0	0	0	2/4	2	1	iv		b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
6	6	11	11	1.0	1/4	1/4	2/4	2	1	i		b	i		i	i							m	1	1	0, -3, 1		0	0
7	7	12	12	2.0	0	0	2/4	2	1	iv		b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
8	8	14	14	0.5	0	0	2/4	2	1	V(64)		b	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
8	8	29/2	29/2	0.5	1/8	1/8	2/4	2	1	V7		b	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
8	8	15	15	1.0	1/4	1/4	2/4	2	1	i|PAC}		b	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
9	9	16	16	2.0	0	0	2/4	2	1	VI.I6{		b	VI		I6	I		6				{	M	1	0	4, 1, 0		0	4
10	10	18	18	1.0	0	0	2/4	2	1	ii7		b	VI		ii7	ii		7					mm7	1	0	2, -1, 3, 0		2	2
10	10	19	19	0.5	1/4	1/4	2/4	2	1	V(64)		b	VI		V(64)	V			64				M	1	0	1, 0, 4		1	1
10	10	39/2	39/2	0.5	3/8	3/8	2/4	2	1	V7		b	VI		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
11	11	20	20	1.0	0	0	2/4	2	1	vi		b	VI		vi	vi							m	1	0	3, 0, 4		3	3
11	11	21	21	1.0	1/4	1/4	2/4	2	1	vi64	I6	b	VI		vi64	vi		64					m	1	0	4, 3, 0		3	4
12	12	22	22	1.0	0	0	2/4	2	1	iio6/vi	V43	b	VI		iio6/vi	ii	o	6		vi			o	1	0	2, -1, 5		5	2
12	12	23	23	0.5	1/4	1/4	2/4	2	1	V(64)/vi	I6	b	VI		V(64)/vi	V			64	vi			M	1	0	4, 3, 0		4	4
12	12	47/2	47/2	0.5	3/8	3/8	2/4	2	1	V7/vi		b	VI		V7/vi	V		7		vi			Mm7	1	0	4, 8, 5, 2		4	4
13	13	24	24	1.0	0	0	2/4	2	1	IV[IV		b	VI	IV	IV	IV							M	1	0	-1, 3, 0		-1	-1
13	13	25	25	1.0	1/4	1/4	2/4	2	1	V7/IV		b	VI	IV	V7/IV	V		7		IV			Mm7	1	0	0, 4, 1, -2		0	0
14	14	26	26	1.0	0	0	2/4	2	1	I/IV		b	VI	IV	I/IV	I				IV			M	1	0	-1, 3, 0		-1	-1
14	14	27	27	1.0	1/4	1/4	2/4	2	1	V7/IV		b	VI	IV	V7/IV	V		7		IV			Mm7	1	0	0, 4, 1, -2		0	0
15	15	28	28	1.0	0	0	2/4	2	1	I/IV]		b	VI	IV	I/IV	I				IV			M	1	0	-1, 3, 0		-1	-1
15	15	29	29	3.0	1/4	1/4	2/4	2	1	i.V7|HC}		b	i		V7	V		7			HC	}	Mm7	1	1	1, 5, 2, -1		1	1
17	17	32	32	2.0	0	0	2/4	2	1	i{		b	i		i	i						{	m	1	1	0, -3, 1		0	0
18	18	34	34	1.0	0	0	2/4	2	1	iv		b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
18	18	35	35	1.0	1/4	1/4	2/4	2	1	i		b	i		i	i							m	1	1	0, -3, 1		0	0
19	19	36	36	2.0	0	0	2/4	2	1	iv		b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
20	20	38	38	0.5	0	0	2/4	2	1	V(64)		b	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
20	20	77/2	77/2	0.5	1/8	1/8	2/4	2	1	V7		b	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
20	20	39	39	1.0	1/4	1/4	2/4	2	1	i|PAC}		b	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
21	21	40	40	2.0	0	0	2/4	2	1	VI.I6{		b	VI		I6	I		6				{	M	1	0	4, 1, 0		0	4
22	22	42	42	1.0	0	0	2/4	2	1	ii7		b	VI		ii7	ii		7					mm7	1	0	2, -1, 3, 0		2	2
22	22	43	43	0.5	1/4	1/4	2/4	2	1	V64		b	VI		V64	V		64					M	1	0	2, 1, 5		1	2
22	22	87/2	87/2	0.5	3/8	3/8	2/4	2	1	V7		b	VI		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
23	23	44	44	1.0	0	0	2/4	2	1	vi		b	VI		vi	vi							m	1	0	3, 0, 4		3	3
23	23	45	45	1.0	1/4	1/4	2/4	2	1	vi64	I6	b	VI		vi64	vi		64					m	1	0	4, 3, 0		3	4
24	24	46	46	1.0	0	0	2/4	2	1	iio6/vi	V43	b	VI		iio6/vi	ii	o	6		vi			o	1	0	2, -1, 5		5	2
24	24	47	47	0.5	1/4	1/4	2/4	2	1	V(64)/vi	I6	b	VI		V(64)/vi	V			64	vi			M	1	0	4, 3, 0		4	4
24	24	95/2	95/2	0.5	3/8	3/8	2/4	2	1	V7/vi		b	VI		V7/vi	V		7		vi			Mm7	1	0	4, 8, 5, 2		4	4
25	25	48	48	1.0	0	0	2/4	2	1	IV[IV		b	VI	IV	IV	IV							M	1	0	-1, 3, 0		-1	-1
25	25	49	49	1.0	1/4	1/4	2/4	2	1	V7/IV		b	VI	IV	V7/IV	V		7		IV			Mm7	1	0	0, 4, 1, -2		0	0
26	26	50	50	1.0	0	0	2/4	2	1	IV		b	VI	IV	IV	IV							M	1	0	-1, 3, 0		-1	-1
26	26	51	51	1.0	1/4	1/4	2/4	2	1	V7/IV		b	VI	IV	V7/IV	V		7		IV			Mm7	1	0	0, 4, 1, -2		0	0
27	27	52	52	1.0	0	0	2/4	2	1	IV]		b	VI	IV	IV	IV							M	1	0	-1, 3, 0		-1	-1
27	27	53	53	3.0	1/4	1/4	2/4	2	1	i.V7|HC}		b	i		V7	V		7			HC	}	Mm7	1	1	1, 5, 2, -1		1	1
29	29	56	56	2.0	0	0	2/4	2	1	i{		b	i		i	i						{	m	1	1	0, -3, 1		0	0
30	30	58	58	1.0	0	0	2/4	2	1	iv		b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
