mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/8	2/4	1	1	.F.V	F	I		V	V						M	0	0	1, 5, 2		1	1
2	1	0	0	2/4	1	1	I	F	I		I	I						M	0	0	0, 4, 1		0	0
2	1	3/8	3/8	2/4	1	1	V7/IV	F	I		V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0	0
3	2	0	0	2/4	1	1	IV	F	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
3	2	1/4	1/4	2/4	1	1	ii7	F	I		ii7	ii		7				mm7	0	0	2, -1, 3, 0		2	2
4	3	0	0	2/4	1	1	V	F	I		V	V						M	0	0	1, 5, 2		1	1
4	3	1/8	1/8	2/4	1	1	V7	F	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
4	3	1/4	1/4	2/4	1	1	V(64)	F	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
4	3	3/8	3/8	2/4	1	1	V7	F	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
5	4	0	0	2/4	1	1	I\\	F	I		I	I					\\	M	0	0	0, 4, 1		0	0
6	5	3/8	3/8	2/4	1	1	V7/IV	F	I		V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0	0
7	6	0	0	2/4	1	1	IV	F	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
7	6	1/4	1/4	2/4	1	1	ii7	F	I		ii7	ii		7				mm7	0	0	2, -1, 3, 0		2	2
8	7	0	0	2/4	1	1	V	F	I		V	V						M	0	0	1, 5, 2		1	1
8	7	1/8	1/8	2/4	1	1	V7	F	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
8	7	1/4	1/4	2/4	1	1	V(64)	F	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
8	7	3/8	3/8	2/4	1	1	V7	F	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
9	8	0	0	2/4	1	1	I\\	F	I		I	I					\\	M	0	0	0, 4, 1		0	0
10	9	0	0	2/4	1	1	V[V7	F	I	V	V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
11	10	0	0	2/4	1	1	V2/ii	F	I	V	V2/ii	V		2		ii		Mm7	0	0	1, 3, 7, 4		3	1
12	11	0	0	2/4	1	1	ii	F	I	V	ii	ii						m	0	0	2, -1, 3		2	2
12	11	3/8	3/8	2/4	1	1	V2/ii	F	I	V	V2/ii	V		2		ii		Mm7	0	0	1, 3, 7, 4		3	1
13	12	0	0	2/4	1	1	ii	F	I	V	ii	ii						m	0	0	2, -1, 3		2	2
14	13	0	0	2/4	1	1	V2/ii	F	I	V	V2/ii	V		2		ii		Mm7	0	0	1, 3, 7, 4		3	1
15	14	0	0	2/4	1	1	V43/iii	F	I	V	V43/iii	V		43		iii		Mm7	0	0	6, 3, 5, 9		5	6
16	15	0	0	2/4	1	1	iii6	F	I	V	iii6	iii		6				m	0	0	1, 5, 4		4	1
16	15	3/8	3/8	2/4	1	1	V65/iii	F	I	V	V65/iii	V		65		iii		Mm7	0	0	9, 6, 3, 5		5	9
17	16	1/8	1/8	2/4	1	1	iii6	F	I	V	iii6	iii		6				m	0	0	1, 5, 4		4	1
17	16	3/8	3/8	2/4	1	1	V7]	F	I	V	V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
18	17	0	0	2/4	1	1	I	F	I		I	I						M	0	0	0, 4, 1		0	0
18	17	3/8	3/8	2/4	1	1	V7/IV	F	I		V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0	0
19	18	0	0	2/4	1	1	IV	F	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
19	18	1/4	1/4	2/4	1	1	ii7	F	I		ii7	ii		7				mm7	0	0	2, -1, 3, 0		2	2
20	19	0	0	2/4	1	1	V	F	I		V	V						M	0	0	1, 5, 2		1	1
20	19	1/8	1/8	2/4	1	1	V7	F	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
20	19	1/4	1/4	2/4	1	1	V(64)	F	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
20	19	3/8	3/8	2/4	1	1	V7	F	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
21	20	0	0	2/4	1	1	I\\	F	I		I	I					\\	M	0	0	0, 4, 1		0	0
22	21	3/8	3/8	2/4	1	1	V7/IV	F	I		V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0	0
23	22	0	0	2/4	1	1	IV	F	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
23	22	1/4	1/4	2/4	1	1	ii7	F	I		ii7	ii		7				mm7	0	0	2, -1, 3, 0		2	2
23	22	3/8	3/8	2/4	1	1	V7/V	F	I		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
24	23	0	0	2/4	1	1	V(64)	F	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
24	23	1/4	1/4	2/4	1	1	V7	F	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
25	24	0	0	2/4	1	1	I\\	F	I		I	I					\\	M	0	0	0, 4, 1		0	0
26	24	0	0	2/4	1	1	I\\	F	I		I	I					\\	M	0	0	0, 4, 1		0	0
