mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	0.5	0	3/8	2/4	2	1		D.V43(#7){	D	I		V43(#7)	V		43	#7			{	Mm7	0	0	2, -1, 6, 5		1	2
2	1	1/2	1/2	1.5	0	0	2/4	2	1		V7	D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
2	1	2	2	0.5	3/8	3/8	2/4	2	1		V65	D	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
3	2	5/2	5/2	2.0	0	0	2/4	2	1		V(64)	D	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
4	3	9/2	9/2	1.5	0	0	2/4	2	1		V7	D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	3	6	6	0.5	3/8	3/8	2/4	2	1		V7(9)	D	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
5	4	13/2	13/2	0.5	0	0	2/4	2	1		I	D	I		I	I							M	0	0	0, 4, 1		0	0
5	4	7	7	0.5	1/8	1/8	2/4	2	1		I6	D	I		I6	I		6					M	0	0	4, 1, 0		0	4
5	4	15/2	15/2	0.5	1/4	1/4	2/4	2	1		V|HC}	D	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
5	4	8	8	0.5	3/8	3/8	2/4	2	1		V7(#7){	D	I		V7(#7)	V		7	#7			{	Mm7	0	0	1, 5, 2, 6		1	1
6	5	17/2	17/2	2.0	0	0	2/4	2	1		V7	D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	21/2	21/2	1.5	0	0	2/4	2	1		I	D	I		I	I							M	0	0	0, 4, 1		0	0
7	6	12	12	0.5	3/8	3/8	2/4	2	1		V2/IV	D	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
8	7	25/2	25/2	1.5	0	0	2/4	2	1		IV6	D	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
8	7	14	14	0.5	3/8	3/8	2/4	2	1		iv6	D	I		iv6	iv		6					m	0	0	-4, 0, -1		-1	-4
9	8		29/2		0	0	2/4	2	1	1	V7	D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8		15		1/8	1/8	2/4	2	1	1	IV6	D	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
9	8		31/2		1/4	1/4	2/4	2	1	1	V65(#4#2)	D	I		V65(#4#2)	V		65	#4#2				Mm7	0	0	10, 7, -1, 1		1	10
9	8		16		3/8	3/8	2/4	2	1	1	V65(#7)}{	D	I		V65(#7)	V		65	#7			}{	Mm7	0	0	5, 2, -1, 6		1	5
