mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	2/4	2	1	G.I{	G	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	1	1	1.0	1/4	1/4	2/4	2	1	viio7/V	G	I		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
2	2	2	2	1.0	0	0	2/4	2	1	V	G	I		V	V							M	0	0	1, 5, 2		1	1
2	2	3	3	1.0	1/4	1/4	2/4	2	1	V65	G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
3	3	4	4	1.0	0	0	2/4	2	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
3	3	5	5	1.0	1/4	1/4	2/4	2	1	viio7/V	G	I		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
4	4	6	6	1.0	0	0	2/4	2	1	V	G	I		V	V							M	0	0	1, 5, 2		1	1
4	4	7	7	1.0	1/4	1/4	2/4	2	1	V65	G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
5	5	8	8	1.0	0	0	2/4	2	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
5	5	9	9	1.0	1/4	1/4	2/4	2	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	6	10	10	1.0	0	0	2/4	2	1	IV	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
6	6	11	11	1.0	1/4	1/4	2/4	2	1	IV6	G	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
7	7	12	12	1.0	0	0	2/4	2	1	V7(4)	G	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
7	7	13	13	1.0	1/4	1/4	2/4	2	1	V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	14	14	2.0	0	0	2/4	2	1	I|IAC}	G	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
9	9	16	16	1.0	0	0	2/4	2	1	vi{	G	I		vi	vi						{	m	0	0	3, 0, 4		3	3
9	9	17	17	1.0	1/4	1/4	2/4	2	1	ii	G	I		ii	ii							m	0	0	2, -1, 3		2	2
10	10	18	18	1.0	0	0	2/4	2	1	V	G	I		V	V							M	0	0	1, 5, 2		1	1
10	10	19	19	1.0	1/4	1/4	2/4	2	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	11	20	20	1.0	0	0	2/4	2	1	VI/vi	G	I		VI/vi	VI				vi			M	0	0	-1, 3, 0		-1	-1
11	11	21	21	1.0	1/4	1/4	2/4	2	1	ii%7/vi	G	I		ii%7/vi	ii	%	7		vi			%7	0	0	5, 2, -1, 3		5	5
12	12	22	22	1.0	0	0	2/4	2	1	V/vi	G	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4
12	12	23	23	1.0	1/4	1/4	2/4	2	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
13	13	24	24	1.0	0	0	2/4	2	1	IV	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
13	13	25	25	1.0	1/4	1/4	2/4	2	1	V2	G	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
14	14	26	26	1.0	0	0	2/4	2	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	14	27	27	0.33333333333333215	1/4	1/4	2/4	2	1	I|IAC}	G	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
14	14	82/3	82/3	0.6666666666666679	1/3	1/3	2/4	2	1	V43	G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
14	14	111/4	111/4	0.0	7/16	7/16	2/4	2	1	{	G	I									{		0	0				
15	15	28	28	1.0	0	0	2/4	2	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
15	15	29	29	1.0	1/4	1/4	2/4	2	1	viio7/V	G	I		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
16	16	30	30	1.0	0	0	2/4	2	1	V	G	I		V	V							M	0	0	1, 5, 2		1	1
16	16	31	31	1.0	1/4	1/4	2/4	2	1	V65	G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
17	17	32	32	1.0	0	0	2/4	2	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
17	17	33	33	1.0	1/4	1/4	2/4	2	1	viio7/V	G	I		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
18	18	34	34	1.0	0	0	2/4	2	1	V	G	I		V	V							M	0	0	1, 5, 2		1	1
18	18	35	35	1.0	1/4	1/4	2/4	2	1	V65	G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
19	19	36	36	1.0	0	0	2/4	2	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
19	19	37	37	1.0	1/4	1/4	2/4	2	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
20	20	38	38	1.0	0	0	2/4	2	1	IV	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
20	20	39	39	1.0	1/4	1/4	2/4	2	1	IV6	G	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
21	21	40	40	1.0	0	0	2/4	2	1	V7(4)	G	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
21	21	41	41	1.0	1/4	1/4	2/4	2	1	V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
22	22	42	42	2.0	0	0	2/4	2	1	I|IAC}	G	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
