mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur	crescendo_hairpin
2	2	3	3	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	22		articStaccatoAbove					
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	23		articStaccatoAbove					
3	3	4	4	0.0	0	0	Dynamic	2/4	1	1	0				sfp						
3	3	4	4	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	24						2	
3	3	5	5	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	25							
3	3	21/4	21/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	26		articStaccatoAbove					
3	3	11/2	11/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	27		articStaccatoAbove					
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	28		articStaccatoAbove					
3	3	4	4	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	29						3	
3	3	17/4	17/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	30							
3	3	9/2	9/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	31		articStaccatoBelow					
3	3	19/4	19/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	32		articStaccatoBelow					
3	3	4	4	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	33							
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	34		articStaccatoAbove					
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	35		articStaccatoAbove					
4	4	6	6	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	36		articAccentStaccatoAbove					
4	4	25/4	25/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	37		articStaccatoAbove					
4	4	13/2	13/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	38		articStaccatoAbove					
4	4	27/4	27/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	39		articStaccatoAbove					
4	4	7	7	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	40						4	
4	4	29/4	29/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	41							
4	4	15/2	15/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	42		articStaccatoAbove					
4	4	31/4	31/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	43		articStaccatoAbove					
4	4	6	6	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	44		articStaccatoAbove					
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	45		articStaccatoAbove					
4	4	7	7	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	46		articStaccatoAbove					
5	5	8	8	0.0	0	0	Dynamic	2/4	1	1	0				sfp						
5	5	8	8	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	47						5	
5	5	9	9	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	48							
5	5	37/4	37/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	49		articStaccatoAbove					
5	5	19/2	19/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	50		articStaccatoAbove					
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	51		articStaccatoAbove					
5	5	8	8	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	52						6	
5	5	33/4	33/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	53							
5	5	17/2	17/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	54		articStaccatoBelow					
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	55		articStaccatoBelow					
5	5	8	8	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	56							
5	5	9	9	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	57		articStaccatoAbove					
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	58		articStaccatoAbove					
6	6	10	10	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	59		articAccentStaccatoAbove					
6	6	41/4	41/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	60		articStaccatoAbove					
6	6	21/2	21/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	61		articStaccatoAbove					
6	6	43/4	43/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	62		articStaccatoAbove					
6	6	11	11	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	63		articAccentStaccatoAbove					
6	6	45/4	45/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	64		articStaccatoAbove					
6	6	23/2	23/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	65		articStaccatoAbove					
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	66		articStaccatoAbove					
6	6	10	10	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	67		articStaccatoAbove					
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	68		articStaccatoAbove					
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	69		articStaccatoAbove					
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	70		articStaccatoAbove					
7	7	12	12	0.0	0	0	Dynamic	2/4	1	1	0				sfp						
7	7	12	12	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	71						7	
7	7	13	13	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	72							
7	7	53/4	53/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	73		articStaccatoAbove					
7	7	27/2	27/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	74		articStaccatoAbove					
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	75		articStaccatoAbove					
7	7	12	12	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	76						8	
7	7	49/4	49/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	77							
7	7	25/2	25/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	78		articStaccatoBelow					
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	79		articStaccatoBelow					
7	7	12	12	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	80							
7	7	13	13	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	81		articStaccatoAbove					
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	82		articStaccatoAbove					
8	8	14	14	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	83		articAccentStaccatoAbove					
8	8	57/4	57/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	84		articStaccatoAbove					
8	8	29/2	29/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	85		articStaccatoAbove					
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	86		articStaccatoAbove					
8	8	15	15	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	87						9	
8	8	61/4	61/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	88							
8	8	31/2	31/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	89		articStaccatoAbove					
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	90		articStaccatoAbove					
8	8	14	14	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	91		articStaccatoAbove					
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	92		articStaccatoAbove					
8	8	15	15	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	93		articStaccatoAbove					
9	9	16	16	0.0	0	0	Dynamic	2/4	1	1	0				sfp						
9	9	16	16	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	94						10	
9	9	17	17	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	95							
9	9	69/4	69/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	96		articStaccatoBelow					
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	97		articStaccatoBelow					
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	98		articStaccatoBelow					
9	9	16	16	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	99						11	
9	9	65/4	65/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	100							
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	101		articStaccatoBelow					
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	102		articStaccatoBelow					
9	9	16	16	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	103							
9	9	17	17	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	104		articStaccatoAbove					
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	105		articStaccatoAbove					
10	10	18	18	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	106		articStaccatoAbove					
10	10	73/4	73/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	107		articStaccatoAbove					
10	10	37/2	37/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	108		articStaccatoAbove					
10	10	75/4	75/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	109		articStaccatoAbove					
10	10	19	19	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	110		articStaccatoBelow					
10	10	77/4	77/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	111		articStaccatoBelow					
10	10	39/2	39/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	112		articStaccatoBelow					
10	10	79/4	79/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	113		articStaccatoBelow					
10	10	18	18	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	114		articStaccatoAbove					
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	115		articStaccatoAbove					
10	10	19	19	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	116		articStaccatoAbove					
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	117		articStaccatoAbove					
11	11	20	20	0.0	0	0	Dynamic	2/4	1	1	0				sfp						
11	11	20	20	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	118						12	
11	11	21	21	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	119							
11	11	85/4	85/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	120		articStaccatoAbove					
11	11	43/2	43/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	121		articStaccatoAbove					
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	122		articStaccatoAbove					
11	11	20	20	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	123						13	
11	11	81/4	81/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	124							
11	11	41/2	41/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	125		articStaccatoBelow					
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	126		articStaccatoBelow					
11	11	21	21	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	127		articStaccatoAbove					
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	128		articStaccatoAbove					
12	12	22	22	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	129		articStaccatoAbove					
12	12	89/4	89/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	130		articStaccatoAbove					
12	12	45/2	45/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	131		articStaccatoAbove					
12	12	91/4	91/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	132		articStaccatoAbove					
12	12	23	23	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	133		articStaccatoBelow					
12	12	93/4	93/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	134		articStaccatoBelow					
12	12	47/2	47/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	135		articStaccatoBelow					
12	12	95/4	95/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	136		articStaccatoBelow					
12	12	22	22	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	137		articStaccatoAbove					
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	138		articStaccatoAbove					
12	12	23	23	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	139		articStaccatoAbove					
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	140		articStaccatoAbove					
13	13	24	24	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	141						14	
13	13	25	25	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	142						14	
13	13	101/4	101/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	143						14	
13	13	51/2	51/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	144						14	
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	145							
13	13	24	24	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	146						15	
13	13	97/4	97/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	147							
13	13	49/2	49/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	148		articStaccatoBelow					
13	13	99/4	99/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	149		articStaccatoBelow					
13	13	25	25	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	150							
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	151							
13	13	25	25	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	152		articAccentBelow					
14	14	26	26	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	153						16	
14	14	27	27	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	154						16	
14	14	109/4	109/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	155						16	
14	14	55/2	55/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	156						16	
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	157							
14	14	26	26	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	158						17	
14	14	105/4	105/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	159							
14	14	53/2	53/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	160		articStaccatoBelow					
14	14	107/4	107/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	161		articStaccatoBelow					
14	14	27	27	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	162							
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	163							
14	14	26	26	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	164							
14	14	27	27	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	165		articAccentBelow					
15	15	28	28	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	166							
15	15	29	29	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	167							
15	15	28	28	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	168						18	
15	15	113/4	113/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	169							
15	15	29	29	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	170						19	
15	15	117/4	117/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16	1/16	1	171							
15	15	28	28	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	172							
15	15	57/2	57/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	173		articStaccatoAbove					
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	174		articStaccatoAbove					
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	175						20	
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	176						20	
15	15	29	29	0.0	1/4	1/4	Dynamic	2/4	2	2	0				sf						
15	15	29	29	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	177							
16	16	30	30	2.0	0	0	Chord	2/4	1	1	1/2	1/2	1	178							
16	16	30	30	0.0	0	0	Spanner	2/4	2	1	0									20	0
16	16	30	30	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	179						20	0
16	16	121/4	121/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	180						20	0
16	16	61/2	61/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	181						20	0
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	182						20	0
16	16	31	31	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	183						20	0
16	16	125/4	125/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	184						20	0
16	16	63/2	63/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	185						20	0
16	16	127/4	127/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	186							0
16	16	30	30	2.0	0	0	Chord	2/4	2	2	1/2	1/2	1	187							0
17	17	32	32	0.0	0	0	Dynamic	2/4	1	1	0				sfp						
17	17	32	32	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	188						21	
17	17	33	33	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	189							
17	17	133/4	133/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	190		articStaccatoAbove					
17	17	67/2	67/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	191		articStaccatoAbove					
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	192		articStaccatoAbove					
17	17	32	32	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	193						22	
17	17	129/4	129/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	194							
17	17	65/2	65/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	195		articStaccatoBelow					
17	17	131/4	131/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	196		articStaccatoBelow					
17	17	32	32	0.0	0	0	Spanner	2/4	2	1	0										
17	17	33	33	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	197		articStaccatoAbove					
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	198		articStaccatoAbove					
18	18	34	34	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	199		articAccentStaccatoAbove					
18	18	137/4	137/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	200		articStaccatoAbove					
18	18	69/2	69/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	201		articStaccatoAbove					
18	18	139/4	139/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	202		articStaccatoAbove					
18	18	35	35	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	203		articAccentStaccatoAbove					
18	18	141/4	141/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	204		articStaccatoAbove					
18	18	71/2	71/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	205		articStaccatoAbove					
18	18	143/4	143/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	206		articStaccatoAbove					
18	18	34	34	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	207		articStaccatoAbove					
18	18	69/2	69/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	208		articStaccatoAbove					
18	18	35	35	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	209		articStaccatoAbove					
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	210		articStaccatoAbove					
19	19	36	36	0.0	0	0	Dynamic	2/4	1	1	0				sfp						
19	19	36	36	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	211						23	
19	19	37	37	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	212							
19	19	149/4	149/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	213		articStaccatoAbove					
19	19	75/2	75/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	214		articStaccatoAbove					
19	19	151/4	151/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	215		articStaccatoAbove					
19	19	36	36	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	216						24	
19	19	145/4	145/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	217							
19	19	73/2	73/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	218		articStaccatoBelow					
19	19	147/4	147/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	219		articStaccatoBelow					
19	19	36	36	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	220							
19	19	37	37	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	221		articStaccatoAbove					
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	222		articStaccatoAbove					
20	20	38	38	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	223		articAccentStaccatoAbove					
20	20	153/4	153/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	224		articStaccatoAbove					
20	20	77/2	77/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	225		articStaccatoAbove					
20	20	155/4	155/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	226		articStaccatoAbove					
20	20	39	39	0.0	1/4	1/4	Dynamic	2/4	1	1	0				sf						
20	20	39	39	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	227						25	
20	20	157/4	157/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	228							
20	20	79/2	79/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	229		articStaccatoAbove					
20	20	159/4	159/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	230		articStaccatoAbove					
20	20	38	38	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	231		articStaccatoAbove					
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	232		articStaccatoAbove					
20	20	39	39	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	233		articStaccatoAbove					
21	21	40	40	0.0	0	0	Dynamic	2/4	1	1	0				sfp						
21	21	40	40	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	234						26	
21	21	41	41	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	235							
21	21	165/4	165/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	236		articStaccatoBelow					
21	21	83/2	83/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	237		articStaccatoBelow					
21	21	167/4	167/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	238		articStaccatoBelow					
21	21	40	40	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	239						27	
21	21	161/4	161/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	240							
21	21	81/2	81/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	241		articStaccatoBelow					
21	21	163/4	163/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	242		articStaccatoBelow					
21	21	40	40	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	243							
21	21	41	41	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	244		articStaccatoAbove					
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	245		articStaccatoAbove					
22	22	42	42	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	246		articStaccatoAbove					
