mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0						(𝅘𝅥=120)	120.0	1.0		
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0				sfp						
1	1	0	0	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	0						0	
1	1	1	1	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	1							
1	1	5/4	5/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	2		articStaccatoAbove					
1	1	3/2	3/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	3		articStaccatoAbove					
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	4		articStaccatoAbove					
1	1	0	0	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	5						1	
1	1	1/4	1/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	6							
1	1	1/2	1/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	7		articStaccatoBelow					
1	1	3/4	3/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	8		articStaccatoBelow					
1	1	0	0	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	9							
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	10		articStaccatoAbove					
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	11		articStaccatoAbove					
2	2	2	2	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	12		articAccentStaccatoAbove					
2	2	9/4	9/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	13		articStaccatoAbove					
2	2	5/2	5/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	14		articStaccatoAbove					
2	2	11/4	11/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	15		articStaccatoAbove					
2	2	3	3	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	16		articAccentStaccatoAbove					
2	2	13/4	13/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	17		articStaccatoAbove					
2	2	7/2	7/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	18		articStaccatoAbove					
2	2	15/4	15/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	19		articStaccatoAbove					
2	2	2	2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	20		articStaccatoAbove					
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	21		articStaccatoAbove					
