mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
5	4	10	10	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	31		articMarcatoAbove						
5	4	11	11	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	32		articMarcatoAbove						
5	4	12	12	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	33								
5	4	25/2	25/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	34								
6	5	13	13	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	35								
6	5	55/4	55/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	36								
6	5	14	14	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	37		articMarcatoAbove						
6	5	15	15	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	38		articMarcatoAbove						
6	5	13	13	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	39								
6	5	55/4	55/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	40								
6	5	14	14	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	41		articMarcatoAbove						
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	42		articMarcatoAbove						
7	6	16	16	0.0	0	0	Spanner	3/4	1	1	0											0
7	6	16	16	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	43		articMarcatoAbove						0
7	6	17	17	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	44		articMarcatoAbove						0
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	45						3		0
7	6	18	18	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	46								0
7	6	37/2	37/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	47								0
7	6	16	16	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	48		articMarcatoBelow						
7	6	17	17	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	49		articMarcatoBelow						
7	6	18	18	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	50								
7	6	37/2	37/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	51								
8	7	19	19	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	52						3		0
8	7	79/4	79/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	53								0
8	7	20	20	0.0	1/4	1/4	Spanner	3/4	1	1	0											
8	7	20	20	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	54		articMarcatoAbove						
8	7	21	21	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	55		articMarcatoAbove						
8	7	19	19	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	56								
8	7	79/4	79/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	57								
8	7	20	20	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	58		articMarcatoBelow						
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	59		articMarcatoBelow						
9	8	22	22	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	60		articMarcatoAbove						
9	8	23	23	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	61		articMarcatoAbove						
9	8	22	22	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	62		articMarcatoBelow						
9	8	23	23	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	63		articMarcatoBelow						
10	8	24	24	0.0	0	1/2	Dynamic	3/4	1	1	0				ff							
10	8	24	24	1.0	0	1/2	Chord	3/4	1	1	1/4	1/4	1	64								
10	8	24	24	0.5	0	1/2	Chord	3/4	2	1	1/8	1/8	1	65								
10	8	49/2	49/2	0.5	1/8	5/8	Chord	3/4	2	1	1/8	1/8	1	66								
11	9	25	25	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	67								
11	9	27	27	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	68								
11	9	25	25	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	69		articAccentAbove						
11	9	51/2	51/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	70								
11	9	26	26	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	71								
11	9	53/2	53/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	72								
11	9	27	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	73								
12	10	28	28	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	74		articMarcatoAbove						
12	10	30	30	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	75								
12	10	28	28	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	76		articAccentAbove						
12	10	57/2	57/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	77								
12	10	29	29	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	78								
12	10	59/2	59/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	79								
12	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	80								
13	11	31	31	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	81		articMarcatoAbove						
13	11	32	32	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	82		articMarcatoAbove						
13	11	33	33	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	83		articMarcatoAbove						
13	11	31	31	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	84		articAccentAbove						
13	11	63/2	63/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	85								
13	11	32	32	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	86								
13	11	65/2	65/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	87								
13	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	88								
14	12	34	34	0.0	0	0	Dynamic	3/4	1	1	0				sf							
14	12	34	34	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	89								
14	12	34	34	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	90		articAccentAbove						
14	12	69/2	69/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	91								
14	12	35	35	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	92								
14	12	71/2	71/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	93								
14	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	94								
