mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin
1	0	0	0	0.0		0	3/8	Dynamic	2/4	1	1	0				p					
1	0	0	0	0.5		0	3/8	Chord	2/4	1	1	1/8	1/8	1	0						
2	1	1/2	1/2	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	1				0		
2	1	3/2	3/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	2				0		
2	1	2	2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	3				0		
2	1	1	1	1.0		1/8	1/8	Chord	2/4	1	2	1/4	1/4	1	4						
2	1	2	2	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	5						
2	1	1/2	1/2	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	6						
2	1	1	1	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	7						
2	1	2	2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	8						
3	2	5/2	5/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	9				0		
3	2	3	3	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	10				0		
3	2	7/2	7/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	11				0		
3	2	4	4	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	12						
3	2	3	3	1.0		1/8	1/8	Chord	2/4	1	2	1/4	1/4	1	13						
3	2	4	4	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	14						
3	2	3	3	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	15						
3	2	7/2	7/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	16						
3	2	4	4	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	17						
3	2	5/2	5/2	2.0		0	0	Chord	2/4	2	2	1/2	1/2	1	18						
4	3	9/2	9/2	1.5		0	0	Chord	2/4	1	1	3/8	1/4	3/2	19				1		
4	3	6	6	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	20				1		
4	3	5	5	1.0		1/8	1/8	Chord	2/4	1	2	1/4	1/4	1	21						
4	3	6	6	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	22						
4	3	5	5	0.5		1/8	1/8	Chord	2/4	1	3	1/8	1/8	1	23						
4	3	11/2	11/2	0.5		1/4	1/4	Chord	2/4	1	3	1/8	1/8	1	24						
4	3	6	6	0.5		3/8	3/8	Chord	2/4	1	3	1/8	1/8	1	25						
4	3	5	5	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	26						
4	3	6	6	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	27						
4	3	9/2	9/2	0.5		0	0	Chord	2/4	2	2	1/8	1/8	1	28						
4	3	5	5	0.5		1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	29				2		
4	3	11/2	11/2	0.5		1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	30				2		
4	3	6	6	0.5		3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	31				2		
5	4	13/2	13/2	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	32						
5	4	8	8	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	33						
5	4	7	7	1.0		1/8	1/8	Chord	2/4	1	2	1/4	1/4	1	34						
5	4	7	7	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	35						
5	4	8	8	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	36						
5	4	13/2	13/2	0.5		0	0	Chord	2/4	2	2	1/8	1/8	1	37						
6	5	17/2	17/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	38				3		
6	5	9	9	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	39				3		
6	5	19/2	19/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	40				3		
6	5	10	10	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	41				3		
6	5	9	9	1.0		1/8	1/8	Chord	2/4	1	2	1/4	1/4	1	42						
6	5	10	10	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	43						
6	5	9	9	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	44						
6	5	10	10	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	45						
6	5	17/2	17/2	0.5		0	0	Chord	2/4	2	2	1/8	1/8	1	46						
6	5	19/2	19/2	1.0		1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	47						
7	6	21/2	21/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	48				3		
7	6	11	11	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	49				3		
7	6	23/2	23/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	50				3		
7	6	12	12	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	51						
7	6	11	11	1.0		1/8	1/8	Chord	2/4	1	2	1/4	1/4	1	52						
7	6	12	12	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	53						
7	6	11	11	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	54						
7	6	23/2	23/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	55						
7	6	12	12	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	56						
7	6	21/2	21/2	2.0		0	0	Chord	2/4	2	2	1/2	1/2	1	57						
8	7	25/2	25/2	1.5		0	0	Chord	2/4	1	1	3/8	1/4	3/2	58				4		
8	7	14	14	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	59				4		
8	7	13	13	1.0		1/8	1/8	Chord	2/4	1	2	1/4	1/4	1	60						
8	7	14	14	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	61						
8	7	13	13	0.5		1/8	1/8	Chord	2/4	1	3	1/8	1/8	1	62						
8	7	27/2	27/2	0.5		1/4	1/4	Chord	2/4	1	3	1/8	1/8	1	63						
8	7	14	14	0.5		3/8	3/8	Chord	2/4	1	3	1/8	1/8	1	64						
8	7	13	13	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	65						
8	7	14	14	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	66						
8	7	25/2	25/2	0.5		0	0	Chord	2/4	2	2	1/8	1/8	1	67				5		
8	7	13	13	0.5		1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	68				5		
8	7	27/2	27/2	0.5		1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	69				5		
8	7	14	14	0.5		3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	70				5		
9	8	29/2	29/2	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	71						
9	8	16	16	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	72						
9	8	15	15	1.0		1/8	1/8	Chord	2/4	1	2	1/4	1/4	1	73						
9	8	15	15	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	74						
9	8	16	16	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	75						
9	8	29/2	29/2	0.5		0	0	Chord	2/4	2	2	1/8	1/8	1	76						
9	8	15	15	1.0		1/8	1/8	Chord	2/4	2	2	1/4	1/4	1	77						
9	8	16	16	0.5		3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	78						
10	9	33/2	33/2	0.0		0	0	Dynamic	2/4	1	1	0				mf					
10	9	33/2	33/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	79				6		
10	9	17	17	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	80				6		
10	9	35/2	35/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	81				6		
10	9	18	18	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	82		articAccentAbove		6		
10	9	17	17	1.0		1/8	1/8	Chord	2/4	1	2	1/4	1/4	1	83						
10	9	18	18	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	84						
10	9	17	17	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	85						
10	9	18	18	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	86						
10	9	33/2	33/2	2.0		0	0	Chord	2/4	2	2	1/2	1/2	1	87						
11	10	37/2	37/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	88						
11	10	19	19	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	89				7		
11	10	39/2	39/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	90				7		
11	10	20	20	0.0		3/8	3/8	Spanner	2/4	1	1	0							7	0	
11	10	20	20	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	91				7	0	
11	10	19	19	1.0		1/8	1/8	Chord	2/4	1	2	1/4	1/4	1	92				8	0	
11	10	20	20	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	93				8	0	
11	10	37/2	37/2	1.5		0	0	Chord	2/4	1	3	3/8	1/4	3/2	94					0	
11	10	19	19	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	95		articAccentAbove				
11	10	20	20	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	96						
11	10	37/2	37/2	2.0		0	0	Chord	2/4	2	2	1/2	1/2	1	97						
12	11	41/2	41/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	98				7	0	
12	11	21	21	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	99				7	0	
12	11	43/2	43/2	0.0		1/4	1/4	Spanner	2/4	1	1	0							7		
12	11	43/2	43/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	100				7		
12	11	22	22	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	101				7		
12	11	41/2	41/2	0.5		0	0	Chord	2/4	1	2	1/8	1/8	1	102						
12	11	22	22	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	103						
12	11	21	21	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	104		articAccentAbove		9		
12	11	22	22	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	105						
12	11	41/2	41/2	1.0		0	0	Chord	2/4	2	2	1/4	1/4	1	106						
12	11	43/2	43/2	1.0		1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	107						
13	12	45/2	45/2	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	108						
13	12	24	24	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	109				10		
13	12	23	23	1.0		1/8	1/8	Chord	2/4	1	2	1/4	1/4	1	110						
13	12	23	23	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	111		articAccentAbove				
13	12	24	24	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	112						
13	12	45/2	45/2	2.0		0	0	Chord	2/4	2	2	1/2	1/2	1	113						
14	13	49/2	49/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	114				10		
14	13	25	25	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	115				10		
14	13	51/2	51/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	116				10		
14	13	26	26	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	117		articAccentAbove		10		
14	13	25	25	1.5		1/8	1/8	Chord	2/4	1	2	3/8	1/4	3/2	118						
14	13	25	25	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	119		articAccentAbove		11		
14	13	26	26	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	120						
14	13	49/2	49/2	2.0		0	0	Chord	2/4	2	2	1/2	1/2	1	121						
15	14	53/2	53/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	122						
15	14	27	27	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	123				12		
15	14	55/2	55/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	124				12		
15	14	28	28	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	125				12		
15	14	27	27	1.0		1/8	1/8	Chord	2/4	1	2	1/4	1/4	1	126				13		
15	14	28	28	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	127				13		
15	14	53/2	53/2	1.5		0	0	Chord	2/4	1	3	3/8	1/4	3/2	128						
15	14	27	27	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	129		articAccentAbove				
15	14	28	28	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	130						
15	14	53/2	53/2	2.0		0	0	Chord	2/4	2	2	1/2	1/2	1	131						
16	15	57/2	57/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	132				12		
16	15	29	29	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	133				12		
16	15	59/2	59/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	134				12		
16	15	30	30	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	135				12		
16	15	57/2	57/2	0.5		0	0	Chord	2/4	1	2	1/8	1/8	1	136						
16	15	30	30	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	137						
16	15	29	29	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	138		articAccentAbove		14		
16	15	30	30	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	139						
16	15	57/2	57/2	1.0		0	0	Chord	2/4	2	2	1/4	1/4	1	140						
16	15	59/2	59/2	1.0		1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	141						
17	16	61/2	61/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	142				12		
17	16	31	31	0.0		1/8	1/8	StaffText	2/4	1	1	0						"<i><font size=""12""/>rit.</i>"			
17	16	31	31	1.0		1/8	1/8	Chord	2/4	1	1	1/4	1/4	1	143		articAccentBelow				
17	16	32	32	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	144		articAccentBelow				
17	16	61/2	61/2	0.5		0	0	Chord	2/4	1	2	1/8	1/8	1	145						
17	16	61/2	61/2	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	146						
17	16	31	31	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	147						
17	16	32	32	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	148						
