mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
1	0	0	0	0.0	0	3/16	Dynamic	2/8	1	1	0				p												
1	0	0	0	0.0	0	3/16	Tempo	2/8	1	1	0							𝅘𝅥𝅮=120	60.0	𝅘𝅥𝅮	120.0	0.0					
1	0	0	0	0.25	0	3/16	Chord	2/8	1	1	1/16	1/16	1	0									0				
2	1	1/4	1/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	1									0				
2	1	1/2	1/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	2									0				
2	1	1	1	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	3									0				
2	1	1/2	1/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	4													
2	1	3/4	3/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	5													
2	1	1/4	1/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	6													
2	1	1/2	1/2	0.25	1/16	1/16	Chord	2/8	2	1	1/16	1/16	1	7									1				
2	1	3/4	3/4	0.25	1/8	1/8	Chord	2/8	2	1	1/16	1/16	1	8									1				
2	1	1	1	0.25	3/16	3/16	Chord	2/8	2	1	1/16	1/16	1	9													
3	2	5/4	5/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	10									0				
3	2	3/2	3/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	11									0				
3	2	2	2	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	12									0				
3	2	3/2	3/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	13													
3	2	7/4	7/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	14													
3	2	5/4	5/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	15													
3	2	3/2	3/2	0.25	1/16	1/16	Chord	2/8	2	1	1/16	1/16	1	16									2				
3	2	7/4	7/4	0.25	1/8	1/8	Chord	2/8	2	1	1/16	1/16	1	17									2				
3	2	2	2	0.25	3/16	3/16	Chord	2/8	2	1	1/16	1/16	1	18													
4	3	9/4	9/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	19									0				
4	3	5/2	5/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	20									0				
4	3	11/4	11/4	0.0	1/8	1/8	Spanner	2/8	1	1	0												0				0
4	3	3	3	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	21									0				0
4	3	5/2	5/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	22													0
4	3	11/4	11/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	23													0
4	3	9/4	9/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	24													
4	3	5/2	5/2	0.25	1/16	1/16	Chord	2/8	2	1	1/16	1/16	1	25									3				
4	3	11/4	11/4	0.25	1/8	1/8	Chord	2/8	2	1	1/16	1/16	1	26									3				
4	3	3	3	0.25	3/16	3/16	Chord	2/8	2	1	1/16	1/16	1	27													
5	4	13/4	13/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	28									0				0
5	4	7/2	7/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	29									0				0
5	4	4	4	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	30									0				0
5	4	7/2	7/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	31													0
5	4	15/4	15/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	32													0
5	4	13/4	13/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	33													
5	4	7/2	7/2	0.25	1/16	1/16	Chord	2/8	2	1	1/16	1/16	1	34									4				
5	4	15/4	15/4	0.25	1/8	1/8	Chord	2/8	2	1	1/16	1/16	1	35									4				
5	4	4	4	0.25	3/16	3/16	Chord	2/8	2	1	1/16	1/16	1	36													
6	5	17/4	17/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	37									0				0
6	5	9/2	9/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	38									0				0
6	5	5	5	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	39									0				0
6	5	9/2	9/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	40													0
6	5	19/4	19/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	41													0
6	5	17/4	17/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	42													
6	5	9/2	9/2	0.25	1/16	1/16	Chord	2/8	2	1	1/16	1/16	1	43									5				
6	5	19/4	19/4	0.25	1/8	1/8	Chord	2/8	2	1	1/16	1/16	1	44									5				
6	5	5	5	0.25	3/16	3/16	Chord	2/8	2	1	1/16	1/16	1	45													
7	6	21/4	21/4	0.0	0	0	Spanner	2/8	1	1	0												0				
7	6	21/4	21/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	46									0				
7	6	11/2	11/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	47									0				
7	6	6	6	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	48									0				
7	6	11/2	11/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	49													
7	6	23/4	23/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	50													
7	6	21/4	21/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	51													
7	6	11/2	11/2	0.25	1/16	1/16	Chord	2/8	2	1	1/16	1/16	1	52									6				
7	6	23/4	23/4	0.25	1/8	1/8	Chord	2/8	2	1	1/16	1/16	1	53									6				
7	6	6	6	0.25	3/16	3/16	Chord	2/8	2	1	1/16	1/16	1	54													
8	7	25/4	25/4	0.0	0	0	StaffText	2/8	1	1	0						ritard.						0				
8	7	25/4	25/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	55									0				
8	7	13/2	13/2	0.75	1/16	1/16	Chord	2/8	1	1	3/16	1/8	3/2	56									0				
8	7	13/2	13/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	57													
8	7	27/4	27/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	58													
8	7	25/4	25/4	0.0	0	0	Spanner	2/8	2	1	0													0	0		
8	7	25/4	25/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	59										0	0		
8	7	13/2	13/2	0.75	1/16	1/16	Chord	2/8	2	1	3/16	1/8	3/2	60										0	0		
8	7	13/2	13/2	0.25	1/16	1/16	Chord	2/8	2	2	1/16	1/16	1	61										0	0		
8	7	27/4	27/4	0.25	1/8	1/8	Chord	2/8	2	2	1/16	1/16	1	62										0	0		
8	7	7	7	0.25	3/16	3/16	Chord	2/8	2	2	1/16	1/16	1	63										0	0		
8	7	27/4	27/4	0.5	1/8	1/8	Chord	2/8	2	3	1/8	1/8	1	64										0	0		
9	8	29/4	29/4	0.5	0	0	Chord	2/8	1	1	1/8	1/8	1	65													
9	8	8	8	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	66									7				
9	8	29/4	29/4	0.5	0	0	Chord	2/8	2	1	1/8	1/8	1	67										0	0		
9	8	31/4	31/4	0.0	1/8	1/8	Spanner	2/8	2	1	0																
10	9	33/4	33/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	68									7				
10	9	17/2	17/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	69									7				
10	9	9	9	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	70									7				
10	9	17/2	17/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	71													
10	9	35/4	35/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	72													
