mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0				pp					
1	1	0	0	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	0		articStaccatoAbove		0		
1	1	1	1	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	1				0		
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	2						
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	3				1		
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	4				1		
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	5				1		
2	2	2	2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	6				2		
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	7				2		
2	2	3	3	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	8				2		
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	9				2		
2	2	5/2	5/2	1.0	1/8	1/8	Chord	2/4	1	2	1/4	1/4	1	10						
2	2	2	2	1.5	0	0	Chord	2/4	2	1	3/8	1/4	3/2	11				1		
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	12				1		
3	3	4	4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	13				2		
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	14				2		
3	3	5	5	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	15				2		
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	16				2		
3	3	4	4	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	17						
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	18						
3	3	5	5	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	19						
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	20						
3	3	4	4	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	21				1		
3	3	5	5	0.75	1/4	1/4	Chord	2/4	2	1	3/16	1/8	3/2	22				1		
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	23				1		
4	4	6	6	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	24				2		
4	4	7	7	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	25						
4	4	6	6	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	26				1		
4	4	7	7	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	27				1		
4	4	6	6	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	28						
