mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	0	0	0	0.0		0	3/8	Dynamic	2/4	1	1	0					p										
1	0	0	0	0.0		0	3/8	Tempo	2/4	1	1	0								𝅘𝅥𝅮=132	66.0	𝅘𝅥𝅮	132.0	0.0			
1	0	0	0	0.5		0	3/8	Chord	2/4	1	1	1/8		1/8	1	0									0		
1	0	0	0	0.25		0	3/8	Chord	2/4	1	2	1/16		1/16	1	1											
1	0	1/4	1/4	0.25		1/16	7/16	Chord	2/4	1	2	1/16		1/16	1	2											
2	1	1/2	1/2	0.0		0	0	Spanner	2/4	1	1	0													0	0	
2	1	1/2	1/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	3									0	0	
2	1	1	1	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	4									0	0	
2	1	3/2	3/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	5									0	0	
2	1	7/4	7/4	0.0		5/16	5/16	Spanner	2/4	1	1	0													0		
2	1	2	2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	6									0		
2	1	1/2	1/2	0.25		0	0	Chord	2/4	1	2	1/16		1/16	1	7											
2	1	3/4	3/4	0.25		1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	8											
2	1	1	1	0.25		1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	9											
2	1	5/4	5/4	0.25		3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	10											
2	1	3/2	3/2	0.25		1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	11											
2	1	7/4	7/4	0.25		5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	12											
2	1	2	2	0.25		3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	13											
2	1	9/4	9/4	0.25		7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	14											
2	1	1/2	1/2	0.0		0	0	Dynamic	2/4	2	1	0					p										
2	1	1/2	1/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	15											
2	1	2	2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	16									1		
3	2	5/2	5/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	17									0		
3	2	3	3	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	18											
3	2	4	4	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	19		articStaccatoAbove									
3	2	5/2	5/2	0.25		0	0	Chord	2/4	1	2	1/16		1/16	1	20											
3	2	11/4	11/4	0.25		1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	21											
3	2	3	3	0.25		1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	22											
3	2	13/4	13/4	0.25		3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	23											
3	2	15/4	15/4	0.25		5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	24											
3	2	4	4	0.25		3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	25											
3	2	17/4	17/4	0.25		7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	26											
3	2	5/2	5/2	0.0		0	0	Spanner	2/4	2	1	0													1	1	
3	2	5/2	5/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	27									1	1	
3	2	3	3	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	28									1	1	
3	2	7/2	7/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	29									1	1	
3	2	4	4	0.0		3/8	3/8	Spanner	2/4	2	1	0															
3	2	4	4	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	30											
3	2	5/2	5/2	2.0		0	0	Chord	2/4	2	2	1/2		1/2	1	31											
4	3	9/2	9/2	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	32									2		
4	3	19/4	19/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	33		articStaccatoAbove									
4	3	5	5	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	34									3		
4	3	21/4	21/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	35									3		
4	3	11/2	11/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	36									3		
4	3	6	6	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	37									3		
4	3	9/2	9/2	0.25		0	0	Chord	2/4	1	2	1/16		1/16	1	38									4		
4	3	19/4	19/4	0.25		1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	39											
4	3	5	5	0.5		1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	40											
4	3	11/2	11/2	0.25		1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	41											
4	3	23/4	23/4	0.25		5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	42											
4	3	6	6	0.25		3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	43											
4	3	25/4	25/4	0.25		7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	44											
4	3	9/2	9/2	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	45											
4	3	19/4	19/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	46											
4	3	5	5	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	47											
4	3	11/2	11/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	48											
4	3	6	6	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	49											
4	3	9/2	9/2	0.25		0	0	Chord	2/4	2	2	1/16		1/16	1	50									5		
4	3	19/4	19/4	0.25		1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	51		articStaccatoBelow									
4	3	5	5	0.25		1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	52									6		
4	3	21/4	21/4	0.25		3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	53									6		
4	3	11/2	11/2	0.5		1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	54											
4	3	6	6	0.5		3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	55									7		
5	4	13/2	13/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	56									3		
5	4	7	7	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	57									3		
5	4	15/2	15/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	58											
5	4	8	8	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	59		articAccentAbove							8		
5	4	13/2	13/2	0.25		0	0	Chord	2/4	1	2	1/16		1/16	1	60											
5	4	27/4	27/4	0.25		1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	61											
5	4	7	7	0.25		1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	62											
5	4	29/4	29/4	0.25		3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	63											
5	4	15/2	15/2	0.25		1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	64											
5	4	31/4	31/4	0.25		5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	65											
5	4	8	8	0.25		3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	66											
5	4	33/4	33/4	0.25		7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	67											
5	4	13/2	13/2	2.0		0	0	Chord	2/4	2	1	1/2		1/2	1	68											
5	4	13/2	13/2	0.5		0	0	Chord	2/4	2	2	1/8		1/8	1	69									7		
5	4	7	7	0.5		1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	70									7		
5	4	15/2	15/2	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	71											
6	5	17/2	17/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	72		articAccentAbove									
6	5	10	10	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	73									9		
6	5	17/2	17/2	0.25		0	0	Chord	2/4	1	2	1/16		1/16	1	74											
6	5	35/4	35/4	0.25		1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	75											
6	5	37/4	37/4	0.25		3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	76											
6	5	39/4	39/4	0.25		5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	77											
6	5	10	10	0.25		3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	78											
6	5	41/4	41/4	0.25		7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	79											
6	5	17/2	17/2	0.0		0	0	Spanner	2/4	2	1	0														2	
6	5	17/2	17/2	0.0		0	0	Chord	2/4	2	1	0	acciaccatura	1/8	1	80										2	
6	5	17/2	17/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	81									10	2	
6	5	9	9	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	82									10	2	
6	5	19/2	19/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	83									10	2	
6	5	10	10	0.0		3/8	3/8	Spanner	2/4	2	1	0													10		
6	5	10	10	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	84									10		
6	5	17/2	17/2	2.0		0	0	Chord	2/4	2	2	1/2		1/2	1	85											
7	6	21/2	21/2	0.0		0	0	Spanner	2/4	1	1	0													9	3	
7	6	21/2	21/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	86									9	3	
7	6	11	11	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	87									9	3	
7	6	23/2	23/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	88									9	3	
7	6	47/4	47/4	0.0		5/16	5/16	Spanner	2/4	1	1	0													9		
7	6	12	12	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	89									9		
7	6	21/2	21/2	0.25		0	0	Chord	2/4	1	2	1/16		1/16	1	90											
7	6	43/4	43/4	0.25		1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	91											
7	6	11	11	0.25		1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	92											
7	6	45/4	45/4	0.25		3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	93											
7	6	23/2	23/2	0.25		1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	94											
7	6	47/4	47/4	0.25		5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	95											
7	6	12	12	0.25		3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	96											
7	6	49/4	49/4	0.25		7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	97											
7	6	21/2	21/2	1.5		0	0	Chord	2/4	2	1	3/8		1/4	3/2	98											
7	6	12	12	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	99									11		
8	7	25/2	25/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	100									9		
8	7	13	13	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	101									9		
8	7	27/2	27/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	102									9		
8	7	14	14	0.0		3/8	3/8	StaffText	2/4	1	1	0							"<i><font size=""12""/>rit.</i>"						9		
8	7	14	14	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	103									9		
8	7	57/4	57/4	0.0		7/16	7/16	Spanner	2/4	1	1	0													9		0
8	7	25/2	25/2	0.25		0	0	Chord	2/4	1	2	1/16		1/16	1	104											0
8	7	51/4	51/4	0.25		1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	105											0
8	7	13	13	0.25		1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	106											0
8	7	53/4	53/4	0.25		3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	107											0
8	7	27/2	27/2	0.25		1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	108											0
8	7	55/4	55/4	0.25		5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	109											0
8	7	14	14	0.25		3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	110											0
8	7	57/4	57/4	0.25		7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	111											0
8	7	25/2	25/2	1.5		0	0	Chord	2/4	2	1	3/8		1/4	3/2	112									11		
8	7	14	14	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	113									11		
9	8		29/2	0.5	1	0	0	Chord	2/4	1	1	1/8		1/8	1	114									9		0
9	8		15	0.5	1	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	115									9		0
9	8		31/2	0.0	1	1/4	1/4	Spanner	2/4	1	1	0															
9	8		31/2	0.5	1	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	116											
9	8		16	0.5	1	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	117									12		
9	8		29/2	0.25	1	0	0	Chord	2/4	1	2	1/16		1/16	1	118											
9	8		59/4	0.25	1	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	119											
9	8		15	0.25	1	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	120											
9	8		61/4	0.25	1	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	121											
9	8		31/2	0.25	1	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	122											
9	8		63/4	0.25	1	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	123											
9	8		16	0.25	1	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	124											
9	8		65/4	0.25	1	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	125											
9	8		29/2	0.5	1	0	0	Chord	2/4	2	1	1/8		1/8	1	126									11		
9	8		15	0.5	1	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	127									11		
9	8		31/2	0.5	1	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	128									11		
9	8		16	0.5	1	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	129									11		
10	9		33/2	0.0	1	0	0	Spanner	2/4	1	1	0													12	4	
10	9		33/2	0.5	1	0	0	Chord	2/4	1	1	1/8		1/8	1	130									12	4	
10	9		17	0.5	1	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	131									12	4	
10	9		35/2	0.5	1	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	132									12	4	
10	9		71/4	0.0	1	5/16	5/16	Spanner	2/4	1	1	0													12		
10	9		18	0.5	1	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	133											
10	9		33/2	0.25	1	0	0	Chord	2/4	1	2	1/16		1/16	1	134											
10	9		67/4	0.25	1	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	135											
10	9		17	0.25	1	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	136											
10	9		69/4	0.25	1	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	137											
10	9		35/2	0.25	1	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	138											
10	9		71/4	0.25	1	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	139											
10	9		18	0.25	1	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	140											
10	9		73/4	0.25	1	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	141											
10	9		33/2	0.5	1	0	0	Chord	2/4	2	1	1/8		1/8	1	142									11		
10	9		17	0.5	1	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	143											
10	9		18	0.5	1	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	144											
11	8	29/2	37/2	0.0	2	0	0	Spanner	2/4	1	1	0															1
11	8	29/2	37/2	0.5	2	0	0	Chord	2/4	1	1	1/8		1/8	1	145									13		1
11	8	15	19	0.5	2	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	146									13		1
11	8	31/2	39/2	0.5	2	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	147											1
11	8	63/4	79/4	0.0	2	5/16	5/16	Spanner	2/4	1	1	0															
11	8	16	20	0.5	2	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	148									14		
11	8	29/2	37/2	0.25	2	0	0	Chord	2/4	1	2	1/16		1/16	1	149											
11	8	59/4	75/4	0.25	2	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	150											
11	8	15	19	0.25	2	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	151											
11	8	61/4	77/4	0.25	2	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	152											
11	8	31/2	39/2	0.25	2	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	153											
11	8	63/4	79/4	0.25	2	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	154											
11	8	16	20	0.25	2	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	155											
11	8	65/4	81/4	0.25	2	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	156											
11	8	29/2	37/2	0.5	2	0	0	Chord	2/4	2	1	1/8		1/8	1	157									15		
11	8	15	19	0.5	2	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	158									15		
11	8	31/2	39/2	0.5	2	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	159									15		
11	8	16	20	0.5	2	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	160		articAccentBelow							15		
12	9	33/2	41/2	0.0	2	0	0	Spanner	2/4	1	1	0													14	5	
12	9	33/2	41/2	0.5	2	0	0	Chord	2/4	1	1	1/8		1/8	1	161									14	5	
12	9	17	21	0.5	2	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	162									14	5	
12	9	35/2	43/2	0.5	2	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	163									14	5	
12	9	71/4	87/4	0.0	2	5/16	5/16	Spanner	2/4	1	1	0													14		
12	9	18	22	0.5	2	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	164									14		
12	9	33/2	41/2	0.25	2	0	0	Chord	2/4	1	2	1/16		1/16	1	165											
12	9	67/4	83/4	0.25	2	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	166											
12	9	17	21	0.25	2	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	167											
12	9	69/4	85/4	0.25	2	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	168											
12	9	35/2	43/2	0.25	2	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	169											
12	9	71/4	87/4	0.25	2	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	170											
12	9	18	22	0.25	2	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	171											
12	9	73/4	89/4	0.25	2	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	172											
12	9	33/2	41/2	1.5	2	0	0	Chord	2/4	2	1	3/8		1/4	3/2	173											
12	9	18	22	0.5	2	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	174									16		
13	10	37/2	45/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	175									14		
13	10	19	23	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	176											
13	10	20	24	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	177		articStaccatoAbove									
13	10	37/2	45/2	0.25		0	0	Chord	2/4	1	2	1/16		1/16	1	178											
13	10	75/4	91/4	0.25		1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	179											
13	10	19	23	0.25		1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	180											
13	10	77/4	93/4	0.25		3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	181											
13	10	79/4	95/4	0.25		5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	182											
13	10	20	24	0.25		3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	183											
13	10	81/4	97/4	0.25		7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	184											
13	10	37/2	45/2	0.0		0	0	Spanner	2/4	2	1	0													16	6	
13	10	37/2	45/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	185									16	6	
