mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	staff_text	slur	crescendo_hairpin	decrescendo_hairpin
4	4	7	7	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12	1/8	2/3	37					
4	4	22/3	22/3	0.3333333333333333	1/3	1/3	Chord	2/4	2	1	1/12	1/8	2/3	38					
4	4	23/3	23/3	0.3333333333333333	5/12	5/12	Chord	2/4	2	1	1/12	1/8	2/3	39					
4	4	6	6	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	40					
4	4	7	7	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	41					
5	5	8	8	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	42			2		
5	5	9	9	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	43			2		
5	5	8	8	0.3333333333333333	0	0	Chord	2/4	2	1	1/12	1/8	2/3	44					
5	5	25/3	25/3	0.3333333333333333	1/12	1/12	Chord	2/4	2	1	1/12	1/8	2/3	45					
5	5	26/3	26/3	0.3333333333333333	1/6	1/6	Chord	2/4	2	1	1/12	1/8	2/3	46					
5	5	9	9	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12	1/8	2/3	47					
5	5	28/3	28/3	0.3333333333333333	1/3	1/3	Chord	2/4	2	1	1/12	1/8	2/3	48					
5	5	29/3	29/3	0.3333333333333333	5/12	5/12	Chord	2/4	2	1	1/12	1/8	2/3	49					
5	5	8	8	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	50					
5	5	9	9	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	51					
5	5	9	9	0.5	1/4	1/4	Chord	2/4	2	3	1/8	1/8	1	52					
6	6	10	10	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	53			2		
6	6	43/4	43/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	54			2		
6	6	11	11	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	55			2		
6	6	10	10	0.3333333333333333	0	0	Chord	2/4	2	1	1/12	1/8	2/3	56					
6	6	31/3	31/3	0.3333333333333333	1/12	1/12	Chord	2/4	2	1	1/12	1/8	2/3	57					
6	6	32/3	32/3	0.3333333333333333	1/6	1/6	Chord	2/4	2	1	1/12	1/8	2/3	58					
6	6	11	11	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12	1/8	2/3	59					
6	6	34/3	34/3	0.3333333333333333	1/3	1/3	Chord	2/4	2	1	1/12	1/8	2/3	60					
6	6	35/3	35/3	0.3333333333333333	5/12	5/12	Chord	2/4	2	1	1/12	1/8	2/3	61					
6	6	10	10	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	62					
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	63					
6	6	10	10	0.5	0	0	Chord	2/4	2	3	1/8	1/8	1	64					
7	7	12	12	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	65			2		
7	7	13	13	0.0	1/4	1/4	Spanner	2/4	1	1	0						2		0
7	7	13	13	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	66			2		0
7	7	12	12	0.3333333333333333	0	0	Chord	2/4	2	1	1/12	1/8	2/3	67					
7	7	37/3	37/3	0.3333333333333333	1/12	1/12	Chord	2/4	2	1	1/12	1/8	2/3	68					
7	7	38/3	38/3	0.3333333333333333	1/6	1/6	Chord	2/4	2	1	1/12	1/8	2/3	69					
7	7	13	13	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12	1/8	2/3	70					
7	7	40/3	40/3	0.3333333333333333	1/3	1/3	Chord	2/4	2	1	1/12	1/8	2/3	71					
7	7	41/3	41/3	0.3333333333333333	5/12	5/12	Chord	2/4	2	1	1/12	1/8	2/3	72					
7	7	12	12	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	73					
7	7	13	13	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	74					
8	8	14	14	2.0	0	0	Chord	2/4	1	1	1/2	1/2	1	75					0
8	8	14	14	0.3333333333333333	0	0	Chord	2/4	2	1	1/12	1/8	2/3	76					
8	8	43/3	43/3	0.3333333333333333	1/12	1/12	Chord	2/4	2	1	1/12	1/8	2/3	77					
8	8	44/3	44/3	0.3333333333333333	1/6	1/6	Chord	2/4	2	1	1/12	1/8	2/3	78					
8	8	15	15	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12	1/8	2/3	79					
8	8	46/3	46/3	0.3333333333333333	1/3	1/3	Chord	2/4	2	1	1/12	1/8	2/3	80					
8	8	47/3	47/3	0.3333333333333333	5/12	5/12	Chord	2/4	2	1	1/12	1/8	2/3	81					
8	8	14	14	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	82					
8	8	15	15	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	83					
9	9	16	16	0.0	0	0	Dynamic	2/4	1	1	0				p				
9	9	16	16	0.0	0	0	Spanner	2/4	1	1	0								
9	9	16	16	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	84			3		
9	9	17	17	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	85			3		
9	9	16	16	0.3333333333333333	0	0	Chord	2/4	2	1	1/12	1/8	2/3	86					
9	9	49/3	49/3	0.3333333333333333	1/12	1/12	Chord	2/4	2	1	1/12	1/8	2/3	87					
9	9	50/3	50/3	0.3333333333333333	1/6	1/6	Chord	2/4	2	1	1/12	1/8	2/3	88					
9	9	17	17	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12	1/8	2/3	89					
9	9	52/3	52/3	0.3333333333333333	1/3	1/3	Chord	2/4	2	1	1/12	1/8	2/3	90					
9	9	53/3	53/3	0.3333333333333333	5/12	5/12	Chord	2/4	2	1	1/12	1/8	2/3	91					
9	9	16	16	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	92			4		
9	9	17	17	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	93			4		
10	10	18	18	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	94			3		
10	10	19	19	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	95					
10	10	18	18	0.3333333333333333	0	0	Chord	2/4	2	1	1/12	1/8	2/3	96					
10	10	55/3	55/3	0.3333333333333333	1/12	1/12	Chord	2/4	2	1	1/12	1/8	2/3	97					
10	10	56/3	56/3	0.3333333333333333	1/6	1/6	Chord	2/4	2	1	1/12	1/8	2/3	98					
10	10	19	19	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12	1/8	2/3	99					
10	10	58/3	58/3	0.3333333333333333	1/3	1/3	Chord	2/4	2	1	1/12	1/8	2/3	100					
10	10	59/3	59/3	0.3333333333333333	5/12	5/12	Chord	2/4	2	1	1/12	1/8	2/3	101					
10	10	18	18	0.75	0	0	Chord	2/4	2	2	3/16	1/8	3/2	102			4		
10	10	75/4	75/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16	1/16	1	103			4		
10	10	19	19	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	104					
11	11	20	20	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	105			5		
11	11	21	21	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	106			5		
11	11	20	20	0.3333333333333333	0	0	Chord	2/4	2	1	1/12	1/8	2/3	107					
11	11	61/3	61/3	0.3333333333333333	1/12	1/12	Chord	2/4	2	1	1/12	1/8	2/3	108					
11	11	62/3	62/3	0.3333333333333333	1/6	1/6	Chord	2/4	2	1	1/12	1/8	2/3	109					
11	11	21	21	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12	1/8	2/3	110					
11	11	64/3	64/3	0.3333333333333333	1/3	1/3	Chord	2/4	2	1	1/12	1/8	2/3	111					
11	11	65/3	65/3	0.3333333333333333	5/12	5/12	Chord	2/4	2	1	1/12	1/8	2/3	112					
11	11	20	20	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	113			6		
11	11	21	21	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	114			6		
12	12	22	22	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	115			5		
12	12	23	23	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	116					
12	12	22	22	0.3333333333333333	0	0	Chord	2/4	2	1	1/12	1/8	2/3	117					
12	12	67/3	67/3	0.3333333333333333	1/12	1/12	Chord	2/4	2	1	1/12	1/8	2/3	118					
12	12	68/3	68/3	0.3333333333333333	1/6	1/6	Chord	2/4	2	1	1/12	1/8	2/3	119					
12	12	23	23	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12	1/8	2/3	120					
12	12	70/3	70/3	0.3333333333333333	1/3	1/3	Chord	2/4	2	1	1/12	1/8	2/3	121					
12	12	71/3	71/3	0.3333333333333333	5/12	5/12	Chord	2/4	2	1	1/12	1/8	2/3	122					
12	12	22	22	0.75	0	0	Chord	2/4	2	2	3/16	1/8	3/2	123			6		
12	12	91/4	91/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16	1/16	1	124			6		
12	12	23	23	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	125					
13	13	24	24	0.0	0	0	StaffText	2/4	1	1	0					ritardando			
13	13	24	24	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	126			7		
13	13	25	25	0.0	1/4	1/4	Spanner	2/4	1	1	0						7	0	
13	13	25	25	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	127			7	0	
13	13	24	24	0.3333333333333333	0	0	Chord	2/4	2	1	1/12	1/8	2/3	128					
13	13	73/3	73/3	0.3333333333333333	1/12	1/12	Chord	2/4	2	1	1/12	1/8	2/3	129					
13	13	74/3	74/3	0.3333333333333333	1/6	1/6	Chord	2/4	2	1	1/12	1/8	2/3	130					
13	13	25	25	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12	1/8	2/3	131					
13	13	76/3	76/3	0.3333333333333333	1/3	1/3	Chord	2/4	2	1	1/12	1/8	2/3	132					
13	13	77/3	77/3	0.3333333333333333	5/12	5/12	Chord	2/4	2	1	1/12	1/8	2/3	133					
13	13	24	24	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	134			8		
13	13	25	25	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	135			8		
14	14	26	26	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	136			7	0	
14	14	107/4	107/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	137			7	0	
14	14	27	27	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	138			7	0	
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	139				0	
14	14	26	26	0.3333333333333333	0	0	Chord	2/4	2	1	1/12	1/8	2/3	140					
14	14	79/3	79/3	0.3333333333333333	1/12	1/12	Chord	2/4	2	1	1/12	1/8	2/3	141					
14	14	80/3	80/3	0.3333333333333333	1/6	1/6	Chord	2/4	2	1	1/12	1/8	2/3	142					
14	14	27	27	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12	1/8	2/3	143					
14	14	82/3	82/3	0.3333333333333333	1/3	1/3	Chord	2/4	2	1	1/12	1/8	2/3	144					
14	14	83/3	83/3	0.3333333333333333	5/12	5/12	Chord	2/4	2	1	1/12	1/8	2/3	145					
14	14	26	26	0.75	0	0	Chord	2/4	2	2	3/16	1/8	3/2	146			8		
14	14	107/4	107/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16	1/16	1	147			8		
14	14	27	27	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	148					
14	14	26	26	2.0	0	0	Chord	2/4	2	3	1/2	1/2	1	149					
14	14	82/3	82/3	0.6666666666666666	1/3	1/3	Chord	2/4	2	4	1/6	1/4	2/3	150					
15	15	28	28	0.0	0	0	Spanner	2/4	1	1	0								
15	15	28	28	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	151			9		
15	15	29	29	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	152			9		
15	15	28	28	0.0	0	0	Dynamic	2/4	2	1	0				p				
15	15	28	28	0.3333333333333333	0	0	Chord	2/4	2	1	1/12	1/8	2/3	153					
15	15	85/3	85/3	0.3333333333333333	1/12	1/12	Chord	2/4	2	1	1/12	1/8	2/3	154					
15	15	86/3	86/3	0.3333333333333333	1/6	1/6	Chord	2/4	2	1	1/12	1/8	2/3	155					
15	15	29	29	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12	1/8	2/3	156					
15	15	88/3	88/3	0.3333333333333333	1/3	1/3	Chord	2/4	2	1	1/12	1/8	2/3	157					
15	15	89/3	89/3	0.3333333333333333	5/12	5/12	Chord	2/4	2	1	1/12	1/8	2/3	158					
15	15	28	28	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	159					
15	15	29	29	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	160					
16	16	30	30	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	161			9		
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	162			9		
16	16	31	31	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	163					
16	16	30	30	0.3333333333333333	0	0	Chord	2/4	2	1	1/12	1/8	2/3	164					
16	16	91/3	91/3	0.3333333333333333	1/12	1/12	Chord	2/4	2	1	1/12	1/8	2/3	165					
16	16	92/3	92/3	0.3333333333333333	1/6	1/6	Chord	2/4	2	1	1/12	1/8	2/3	166					
16	16	31	31	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12	1/8	2/3	167					
16	16	94/3	94/3	0.3333333333333333	1/3	1/3	Chord	2/4	2	1	1/12	1/8	2/3	168					
16	16	95/3	95/3	0.3333333333333333	5/12	5/12	Chord	2/4	2	1	1/12	1/8	2/3	169					
16	16	30	30	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	170					
16	16	31	31	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	171					
17	17	32	32	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	172			10		
17	17	33	33	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	173			10		
17	17	32	32	0.3333333333333333	0	0	Chord	2/4	2	1	1/12	1/8	2/3	174					
17	17	97/3	97/3	0.3333333333333333	1/12	1/12	Chord	2/4	2	1	1/12	1/8	2/3	175					
17	17	98/3	98/3	0.3333333333333333	1/6	1/6	Chord	2/4	2	1	1/12	1/8	2/3	176					
17	17	33	33	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12	1/8	2/3	177					
17	17	100/3	100/3	0.3333333333333333	1/3	1/3	Chord	2/4	2	1	1/12	1/8	2/3	178					
17	17	101/3	101/3	0.3333333333333333	5/12	5/12	Chord	2/4	2	1	1/12	1/8	2/3	179					
17	17	32	32	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	180					
17	17	33	33	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	181					
18	18	34	34	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	182			10		
18	18	139/4	139/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	183			10		
18	18	35	35	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	184					
18	18	34	34	0.3333333333333333	0	0	Chord	2/4	2	1	1/12	1/8	2/3	185					
18	18	103/3	103/3	0.3333333333333333	1/12	1/12	Chord	2/4	2	1	1/12	1/8	2/3	186					
18	18	104/3	104/3	0.3333333333333333	1/6	1/6	Chord	2/4	2	1	1/12	1/8	2/3	187					
18	18	35	35	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12	1/8	2/3	188					
18	18	106/3	106/3	0.3333333333333333	1/3	1/3	Chord	2/4	2	1	1/12	1/8	2/3	189					
18	18	107/3	107/3	0.3333333333333333	5/12	5/12	Chord	2/4	2	1	1/12	1/8	2/3	190					
18	18	34	34	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	191					
18	18	35	35	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	192					
19	19	36	36	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	193			11		
19	19	37	37	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	194			11		
19	19	36	36	0.3333333333333333	0	0	Chord	2/4	2	1	1/12	1/8	2/3	195					
19	19	109/3	109/3	0.3333333333333333	1/12	1/12	Chord	2/4	2	1	1/12	1/8	2/3	196					
19	19	110/3	110/3	0.3333333333333333	1/6	1/6	Chord	2/4	2	1	1/12	1/8	2/3	197					
19	19	37	37	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12	1/8	2/3	198					
19	19	112/3	112/3	0.3333333333333333	1/3	1/3	Chord	2/4	2	1	1/12	1/8	2/3	199					
19	19	113/3	113/3	0.3333333333333333	5/12	5/12	Chord	2/4	2	1	1/12	1/8	2/3	200					
19	19	36	36	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	201					
19	19	37	37	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	202					
19	19	37	37	0.5	1/4	1/4	Chord	2/4	2	3	1/8	1/8	1	203					
20	20	38	38	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	204			11		
20	20	155/4	155/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	205			11		
20	20	39	39	0.0	1/4	1/4	Spanner	2/4	1	1	0						11		1
20	20	39	39	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	206			11		1
20	20	38	38	0.3333333333333333	0	0	Chord	2/4	2	1	1/12	1/8	2/3	207					
20	20	115/3	115/3	0.3333333333333333	1/12	1/12	Chord	2/4	2	1	1/12	1/8	2/3	208					
20	20	116/3	116/3	0.3333333333333333	1/6	1/6	Chord	2/4	2	1	1/12	1/8	2/3	209					
20	20	39	39	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12	1/8	2/3	210					
20	20	118/3	118/3	0.3333333333333333	1/3	1/3	Chord	2/4	2	1	1/12	1/8	2/3	211					
20	20	119/3	119/3	0.3333333333333333	5/12	5/12	Chord	2/4	2	1	1/12	1/8	2/3	212					
20	20	38	38	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	213					
20	20	39	39	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	214					
20	20	38	38	0.5	0	0	Chord	2/4	2	3	1/8	1/8	1	215					
21	21	40	40	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	216			11		1
21	21	41	41	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	217			11		1
21	21	40	40	0.3333333333333333	0	0	Chord	2/4	2	1	1/12	1/8	2/3	218					
21	21	121/3	121/3	0.3333333333333333	1/12	1/12	Chord	2/4	2	1	1/12	1/8	2/3	219					
21	21	122/3	122/3	0.3333333333333333	1/6	1/6	Chord	2/4	2	1	1/12	1/8	2/3	220					
21	21	41	41	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12	1/8	2/3	221					
21	21	124/3	124/3	0.3333333333333333	1/3	1/3	Chord	2/4	2	1	1/12	1/8	2/3	222					
21	21	125/3	125/3	0.3333333333333333	5/12	5/12	Chord	2/4	2	1	1/12	1/8	2/3	223					
21	21	40	40	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	224					
21	21	41	41	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	225					
22	22	42	42	2.0	0	0	Chord	2/4	1	1	1/2	1/2	1	226					1
22	22	44	44	0.0	1/2	1/2	Spanner	2/4	1	1	0								
22	22	42	42	0.3333333333333333	0	0	Chord	2/4	2	1	1/12	1/8	2/3	227					
22	22	127/3	127/3	0.3333333333333333	1/12	1/12	Chord	2/4	2	1	1/12	1/8	2/3	228					
22	22	128/3	128/3	0.3333333333333333	1/6	1/6	Chord	2/4	2	1	1/12	1/8	2/3	229					
22	22	43	43	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12	1/8	2/3	230					
22	22	130/3	130/3	0.3333333333333333	1/3	1/3	Chord	2/4	2	1	1/12	1/8	2/3	231					
22	22	131/3	131/3	0.3333333333333333	5/12	5/12	Chord	2/4	2	1	1/12	1/8	2/3	232					
22	22	42	42	2.0	0	0	Chord	2/4	2	2	1/2	1/2	1	233					
22	22	127/3	127/3	0.6666666666666666	1/12	1/12	Chord	2/4	2	3	1/6	1/4	2/3	234					
