mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0						(𝅗𝅥space.=80)	240.0	1.0	
1	1	1/2	1/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	0						
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	1						
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	2		articAccentAbove				
1	1	0	0	0.0	0	0	Dynamic	3/4	2	1	0				mf					
1	1	0	0	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	3						
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	4						
1	1	1	1	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	5						
2	2	7/2	7/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	6						
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	7						
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	8		articAccentAbove				
2	2	3	3	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	9						
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	10						
2	2	3	3	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	11						
2	2	4	4	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	12						
3	3	13/2	13/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	13						
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	14						
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	15		articAccentAbove				
3	3	6	6	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	16						
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	17						
3	3	6	6	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	18						
3	3	7	7	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	19						
4	4	19/2	19/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	20						
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	21						
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	22		articAccentBelow				
4	4	9	9	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	23						
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	24						
4	4	9	9	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	25						
4	4	10	10	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	26						
5	5	25/2	25/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	27						
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	28						
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	29		articAccentAbove				
5	5	12	12	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	30						0
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	31						0
5	5	12	12	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	32						
5	5	13	13	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	33						
6	6	31/2	31/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	34						
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	35						
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	36		articAccentBelow				
6	6	15	15	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	37						0
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	38						0
6	6	15	15	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	39						
6	6	16	16	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	40						
7	7	37/2	37/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	41						
